PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Chilver, M; Keller, AS; Park, H; Jamshidi, J; Montalto, A; Schofield, P; Clark, R; Harmon-Jones, E; Williams, L; Gatt, J				Chilver, Miranda; Keller, Arielle S.; Park, Haeme; Jamshidi, Javad; Montalto, Arthur; Schofield, Peter; Clark, Richard; Harmon-Jones, Eddie; Williams, Leanne; Gatt, Justine			Distinct Electrophysiological Markers of Mental Wellbeing and Mental Illness Symptoms in 422 Healthy Adults	BIOLOGICAL PSYCHIATRY			English	Meeting Abstract						Event-Related Potential (ERP); Mental Wellbeing; Electroencephalography (EEG); Depression; Anxiety; Emotional Facial Processing			[Chilver, Miranda; Park, Haeme; Jamshidi, Javad; Montalto, Arthur; Schofield, Peter; Gatt, Justine] Neurosci Res Australia, Randwick, NSW, Australia; [Keller, Arielle S.; Williams, Leanne] Stanford Univ, Stanford, CA 94305 USA; [Clark, Richard] Flinders Univ S Australia, Adelaide, SA, Australia; [Harmon-Jones, Eddie] Univ New South Wales, Sydney, NSW, Australia				Williams, Leanne/GLU-4975-2022; Harmon-Jones, Eddie/A-5636-2008	Williams, Leanne/0000-0001-9987-7360; Harmon-Jones, Eddie/0000-0003-4771-3043	ARC; NHMRC	ARC(Australian Research Council); NHMRC(National Health and Medical Research Council (NHMRC) of Australia)	ARC; NHMRC; Other		0	0	0	1	2	ELSEVIER SCIENCE INC	NEW YORK	STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA	0006-3223	1873-2402		BIOL PSYCHIAT	Biol. Psychiatry	MAY 1	2021	89	9		S			S163	S164						2	Neurosciences; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Psychiatry	RV2QO					2022-08-02	WOS:000645683800394
J	Doan, DNT; Ku, B; Choi, J; Oh, M; Kim, K; Cha, W; Kim, JU				Doan, Dieu Ni Thi; Ku, Boncho; Choi, Jungmi; Oh, Miae; Kim, Kahye; Cha, Wonseok; Kim, Jaeuk U.			Predicting Dementia With Prefrontal Electroencephalography and Event-Related Potential	FRONTIERS IN AGING NEUROSCIENCE			English	Article						dementia; Alzheimer&#8217; s disease; electroencephalography; electrophysiology; event-related potential; Mini-Mental Status Examination		Objective: To examine whether prefrontal electroencephalography (EEG) can be used for screening dementia. Methods: We estimated the global cognitive decline using the results of Mini-Mental Status Examination (MMSE), measurements of brain activity from resting-state EEG, responses elicited by auditory stimulation [sensory event-related potential (ERP)], and selective attention tasks (selective-attention ERP) from 122 elderly participants (dementia, 35; control, 87). We investigated that the association between MMSE and each EEG/ERP variable by using Pearson's correlation coefficient and performing univariate linear regression analysis. Kernel density estimation was used to examine the distribution of each EEG/ERP variable in the dementia and non-dementia groups. Both Univariate and multiple logistic regression analyses with the estimated odds ratios were conducted to assess the associations between the EEG/ERP variables and dementia prevalence. To develop the predictive models, five-fold cross-validation was applied to multiple classification algorithms. Results: Most prefrontal EEG/ERP variables, previously known to be associated with cognitive decline, show correlations with the MMSE score (strongest correlation has |r| = 0.68). Although variables such as the frontal asymmetry of the resting-state EEG are not well correlated with the MMSE score, they indicate risk factors for dementia. The selective-attention ERP and resting-state EEG variables outperform the MMSE scores in dementia prediction (areas under the receiver operating characteristic curve of 0.891, 0.824, and 0.803, respectively). In addition, combining EEG/ERP variables and MMSE scores improves the model predictive performance, whereas adding demographic risk factors do not improve the prediction accuracy. Conclusion: Prefrontal EEG markers outperform MMSE scores in predicting dementia, and additional prediction accuracy is expected when combining them with MMSE scores. Significance: Prefrontal EEG is effective for screening dementia when used independently or in combination with MMSE.	[Doan, Dieu Ni Thi; Ku, Boncho; Kim, Kahye; Kim, Jaeuk U.] Korea Inst Oriental Med, Daejeon, South Korea; [Doan, Dieu Ni Thi; Kim, Jaeuk U.] Univ Sci & Technol, Korean Convergence Med, Daejeon, South Korea; [Choi, Jungmi; Cha, Wonseok] Human Antiaging Stand Res Inst, Uiryeong Gun, South Korea; [Oh, Miae] Korea Inst Hlth & Social Affairs, Sejong, South Korea		Kim, JU (corresponding author), Korea Inst Oriental Med, Daejeon, South Korea.; Kim, JU (corresponding author), Univ Sci & Technol, Korean Convergence Med, Daejeon, South Korea.	jaeukkim@kiom.re.kr			Korea Institute of Oriental Medicine (KIOM) - Korean government [KSN2021130]; Human Anti-Aging Standards Research Institute; Uiryeong Community Health Center; KIOM	Korea Institute of Oriental Medicine (KIOM) - Korean government; Human Anti-Aging Standards Research Institute; Uiryeong Community Health Center; KIOM	This study was conducted as a part of the Brain Aging Map Project and was supported by the Korea Institute of Oriental Medicine (KIOM; Grant no.: KSN2021130) funded by the Korean government. The Brain Aging Map Project was supported by the Human Anti-Aging Standards Research Institute, the Uiryeong Community Health Center, and the KIOM.		106	5	5	8	10	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND	1663-4365			FRONT AGING NEUROSCI	Front. Aging Neurosci.	APR 13	2021	13								659817	10.3389/fnagi.2021.659817	http://dx.doi.org/10.3389/fnagi.2021.659817			19	Geriatrics & Gerontology; Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Geriatrics & Gerontology; Neurosciences & Neurology	RT5EL	33927610	Green Published, gold			2022-08-02	WOS:000644482400001
J	Aksoy, M; Ufodiama, CE; Bateson, AD; Martin, S; Asghar, AUR				Aksoy, Murat; Ufodiama, Chiedu E.; Bateson, Anthony D.; Martin, Stewart; Asghar, Aziz U. R.			A comparative experimental study of visual brain event-related potentials to a working memory task: virtual reality head-mounted display versus a desktop computer screen	EXPERIMENTAL BRAIN RESEARCH			English	Article						Virtual reality; Electroencephalography (EEG); Event-related potentials (ERPs); n-back; Cognitive workload	SPATIAL ATTENTION; N-BACK; P300; EEG; ERP; ELECTROENCEPHALOGRAPHY; ELECTROPHYSIOLOGY; BRIGHTNESS; PERCEPTION; SIZE	Virtual reality head mounted display (VR HMD) systems are increasingly utilised in combination with electroencephalography (EEG) in the experimental study of cognitive tasks. The aim of our investigation was to determine the similarities/differences between VR HMD and the computer screen (CS) in response to an n-back working memory task by comparing visual electrophysiological event-related potential (ERP) waveforms (N1/P1/P3 components). The same protocol was undertaken for VR HMD and CS with participants wearing the same EEG headcap. ERP waveforms obtained with the VR HMD environment followed a similar time course to those acquired in CS. The P3 mean and peak amplitudes obtained in VR HMD were not significantly different to those obtained in CS. In contrast, the N1 component was significantly higher in mean and peak amplitudes for the VR HMD environment compared to CS at the frontal electrodes. Significantly higher P1 mean and peak amplitudes were found at the occipital region compared to the temporal for VR HMD. Our results show that successful acquisition of ERP components to a working memory task is achievable by combining VR HMD with EEG. In addition, the higher amplitude N1/P1 components seen in VR HMD indicates the potential utility of this VR modality in the investigation of early ERPs. In conclusion, the combination of VR HMD with EEG/ERP would be a useful approach to advance the study of cognitive function in experimental brain research.	[Aksoy, Murat; Ufodiama, Chiedu E.; Asghar, Aziz U. R.] Univ Hull, Ctr Anat & Human Sci, Hull York Med Sch, Kingston Upon Hull HU6 7RX, N Humberside, England; [Bateson, Anthony D.] Univ Hull, Dept Engn, Fac Sci & Engn, Cottingham Rd, Kingston Upon Hull HU6 7RX, N Humberside, England; [Martin, Stewart] Univ Hull, Sch Educ & Social Sci, Cottingham Rd, Kingston Upon Hull HU6 7RX, N Humberside, England		Asghar, AUR (corresponding author), Univ Hull, Ctr Anat & Human Sci, Hull York Med Sch, Kingston Upon Hull HU6 7RX, N Humberside, England.	aziz.asghar@hyms.ac.uk		Asghar, Aziz/0000-0002-3735-4449; Ufodiama, Chiedu/0000-0002-7917-3398	Hull York Medical School Research Committee grant; INSPIRE, Wellcome Trust (The Academy of Medical Sciences) [WT099302]	Hull York Medical School Research Committee grant; INSPIRE, Wellcome Trust (The Academy of Medical Sciences)	The study was supported by a Hull York Medical School Research Committee grant. C.E.U was funded by DINSPIRE, Wellcome Trust (The Academy of Medical Sciences. Grant Number: WT099302).		76	0	0	6	13	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0014-4819	1432-1106		EXP BRAIN RES	Exp. Brain Res.	OCT	2021	239	10					3007	3022		10.1007/s00221-021-06158-w	http://dx.doi.org/10.1007/s00221-021-06158-w		AUG 2021	16	Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	WL1DY	34347129	Green Published, hybrid			2022-08-02	WOS:000681226400001
J	Kim, JS; Lee, YJ; Shim, SH				Kim, Ji Sun; Lee, Yeon Jung; Shim, Se-Hoon			What Event-Related Potential Tells Us about Brain Function: Child-Adolescent Psychiatric Perspectives	JOURNAL OF THE KOREAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY			English	Review						Electroencephalography; Event-related potentials; Child psychiatry; Psychopathology	ERROR-RELATED-NEGATIVITY; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; OBSESSIVE-COMPULSIVE DISORDER; MISMATCH-NEGATIVITY; ELECTROPHYSIOLOGICAL INDEXES; EXECUTIVE FUNCTIONS; ANXIETY DISORDERS; REWARD; INHIBITION; ERP	Electroencephalography (EEG) measures neural activation due to various cognitive processes. EEG and event-related potentials (ERPs) are widely used in studies investigating psychopathology and neural substrates of psychiatric diseases in children and adolescents. The present study aimed to review recent ERP studies in child and adolescent psychiatry. ERPs are non-invasive methods for studying synaptic functions in the brain. ERP might be a candidate biomarker in child-adolescent psychiatry, considering its ability to reflect cognitive and behavioral functions in humans. For the EEG study of psychiatric diseases in children and adolescents, several ERP components have been used, such as mismatch negativity, P300, error-related negativity (ERN), and reward positivity (RewP). Regarding executive functions and inhibition in patients with attention-deficit/hyperactivity disorder (ADHD), P300 latency, and ERN were significantly different in patients with ADHD compared to those in the healthy population. ERN showed meaningful changes in patients with anxiety disorders, such as generalized anxiety disorder, separation anxiety disorder, and obsessive-compulsive disorder. Patients with depression showed significantly attenuated RewP compared to the healthy population, which was related to the symptoms of anhedonia.	[Kim, Ji Sun; Shim, Se-Hoon] Soonchunhyang Univ, Coll Med, Dept Psychiat, Cheonan Hosp, 31 Suncheonhyang 6 Gil, Cheonan 31151, South Korea; [Lee, Yeon Jung] Soonchunhyang Univ, Coll Med, Dept Psychiat, Seoul Hosp, Seoul, South Korea		Shim, SH (corresponding author), Soonchunhyang Univ, Coll Med, Dept Psychiat, Cheonan Hosp, 31 Suncheonhyang 6 Gil, Cheonan 31151, South Korea.	shshim2k@daum.net		Lee, Yeon Jung/0000-0001-8953-5893; /0000-0003-2472-4591	National Research Foundation of Korea (NRF) [2020R1I1A3068017, 2020R1I1A3A04036435]; Ministry of Education	National Research Foundation of Korea (NRF)(National Research Foundation of Korea); Ministry of Education	This work was supported by a grant (2020R1I1A3068017) awarded by the Basic Science Research Program through the National Research Foundation of Korea (NRF) and funded by the Ministry of Education. This work was also supported by a grant (2020R1I1A3A04036435) awarded by the Basic Science Research Program through the National Research Foundation of Korea (NRF) and funded by the Ministry of Education.		60	1	1	3	8	KOREAN ACAD CHILD & ADOLESCENT PSYCHIATRY	SEOUL	1520 LG ECLAT, 1599-2 SEOCHO-DONG, SEOCHO-GU, SEOUL, 130-070, SOUTH KOREA	1225-729X	2233-9183		J KOR ACAD CHILD ADO	J. Kor. Acad. Child Adolesc. Psychiat.	JUL	2021	32	3					93	98		10.5765/jkacap.210012	http://dx.doi.org/10.5765/jkacap.210012			6	Psychiatry	Emerging Sources Citation Index (ESCI)	Psychiatry	TB2GF	34285633	Green Published, gold			2022-08-02	WOS:000667763100003
J	Haartsen, R; Mason, L; Braithwaite, EK; Del Bianco, T; Johnson, MH; Jones, EJH				Haartsen, Rianne; Mason, Luke; Braithwaite, Eleanor K.; Del Bianco, Teresa; Johnson, Mark H.; Jones, Emily J. H.			Reliability of an automated gaze-controlled paradigm for capturing neural responses during visual and face processing in toddlerhood	DEVELOPMENTAL PSYCHOBIOLOGY			English	Article						child; electroencephalography; evoked potentials; eye-tracking technology; human development; methods; preschool	EVENT-RELATED POTENTIALS; AUTISM SPECTRUM DISORDER; SOCIAL COGNITION; CHILDREN; RECOGNITION; ERP; SPECIALIZATION; REPETITION; ASD; PERFORMANCE	Electroencephalography (EEG) has substantial potential value for examining individual differences during early development. Current challenges in developmental EEG research include high dropout rates and low trial numbers, which may in part be due to passive stimulus presentation. Comparability is challenged by idiosyncratic processing pipelines. We present a novel toolbox ("Braintools") that uses gaze-contingent stimulus presentation and an automated processing pipeline suitable for measuring visual processing through low-density EEG recordings in the field. We tested the feasibility of this toolbox in 61 2.5- to 4-year olds, and computed test-retest reliability (1- to 2-week interval) of event-related potentials (ERP) associated with visual (P1) and face processing (N290, P400). Feasibility was good, with 52 toddlers providing some EEG data at the first session. Reliability values for ERP features were moderate when derived from 20 trials; this would allow inclusion of 79% of the 61 toddlers for the P1 and 82% for the N290 and P400. P1 amplitude/latency were more reliable across sessions than for the N290 and P400. Amplitudes were generally more reliable than latencies. Automated and standardized solutions to collection and analysis of event-related EEG data would allow efficient application in large-scale global health studies, opening significant potential for examining individual differences in development.	[Haartsen, Rianne; Mason, Luke; Braithwaite, Eleanor K.; Del Bianco, Teresa; Johnson, Mark H.; Jones, Emily J. H.] Birkbeck Univ London, Ctr Brain & Cognit Dev, Dept Psychol Sci, Malet St, London WC1E7HX, England; [Johnson, Mark H.] Univ Cambridge, Dept Psychol, Cambridge, England		Haartsen, R (corresponding author), Birkbeck Univ London, Ctr Brain & Cognit Dev, Dept Psychol Sci, Malet St, London WC1E7HX, England.	rhaart01@mail.bbk.ac.uk		Haartsen, Rianne/0000-0003-1072-4152; Del Bianco, Teresa/0000-0002-7162-0042	Medical Research Council [MC_PC_MR/R018529/1, MR/T003057/1] Funding Source: Medline; UK Medical Research Council [MR/K021389/1, G0701484] Funding Source: Medline; Medical Research Council Global Health [MR/R018529/1] Funding Source: Medline	Medical Research Council(UK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission); UK Medical Research Council(UK Research & Innovation (UKRI)Medical Research Council UK (MRC)); Medical Research Council Global Health			78	2	2	2	4	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0012-1630	1098-2302		DEV PSYCHOBIOL	Dev. Psychobiol.	NOV	2021	63	7							e22157	10.1002/dev.22157	http://dx.doi.org/10.1002/dev.22157			19	Developmental Biology; Psychology	Science Citation Index Expanded (SCI-EXPANDED)	Developmental Biology; Psychology	WK1GP	34674242	Green Published			2022-08-02	WOS:000709481800002
C	Nawaz, R; Nisar, H; Voon, YV			IEEE	Nawaz, Rab; Nisar, Humaira; Voon, Yap Vooi			Analyses of Stroop EEG using Event Related Potentials and Time-Frequency Decomposition	2020 IEEE-EMBS CONFERENCE ON BIOMEDICAL ENGINEERING AND SCIENCES (IECBES 2020): LEADING MODERN HEALTHCARE TECHNOLOGY ENHANCING WELLNESS	IEEE EMBS Conference on Biomedical Engineering and Sciences		English	Proceedings Paper	IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES) - Leading Modern Healthcare Technology Enhancing Wellness	MAR 01-03, 2021	ELECTR NETWORK	IEEE, EMBS, IEEE Engn Med & Biol Soc, Malaysia Chapter		Event related potentials (ERP); Time-frequency analysis; Stroop test; Electroencephalography (EEG)	HUMAN BRAIN	An event-related potential (ERP) measures the brain response that is the direct result of a specific sensory, cognitive, or motor event. In this paper we apply time-frequency analysis to the ERPs to investigate the sub-cognitive processes of the Stroop test. EEG data from 50 healthy participants are collected while performing the Stroop test. The test comprised of congruent and incongruent trials. Response time, response accuracy, and peak amplitudes and latencies are compared between congruent and incongruent trials. It is found that participants took significantly longer time to respond to incongruent trials than the congruent trials. It is also observed that the peak amplitudes in multiple ERPs are significantly higher in the congruent trials than incongruent trials. The time-frequency results revealed that brain oscillations in both congruent and incongruent trials increased in the higher beta range (18-30 Hz). We conclude that brain responses to stimulus are strongly correlated with higher beta band (18-30 Hz).	[Nawaz, Rab; Nisar, Humaira; Voon, Yap Vooi] Univ Tunku Abdul Rahman, Dept Elect Engn, Kampar, Malaysia		Nawaz, R (corresponding author), Univ Tunku Abdul Rahman, Dept Elect Engn, Kampar, Malaysia.	rabnawaz@1utar.my; humaira@utar.edu.my; yapvv@utar.edu.my			Universiti Tunku Abdul Rahman Research Fund (UTARRF) [IPSR/RMC/UTARRF/2020-C2/H01]	Universiti Tunku Abdul Rahman Research Fund (UTARRF)	This work is supported by Universiti Tunku Abdul Rahman Research Fund (UTARRF) Grant Number: IPSR/RMC/UTARRF/2020-C2/H01.		13	0	0	2	8	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2374-3220		978-1-7281-4245-6	IEEE EMBS CONF BIO			2021							401	405		10.1109/IECBES48179.2021.9398768	http://dx.doi.org/10.1109/IECBES48179.2021.9398768			5	Engineering, Biomedical; Radiology, Nuclear Medicine & Medical Imaging	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Radiology, Nuclear Medicine & Medical Imaging	BR8NG					2022-08-02	WOS:000672635300075
J	Mehmood, RM; Yang, HJ; Kim, SH				Mehmood, Raja Majid; Yang, Hyung-Jeong; Kim, Sun-Hee			Children Emotion Regulation: Development of Neural Marker by Investigating Human Brain Signals	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT			English	Article						Children's emotions; electroencephalography (EEG); emotion regulation; event-related potential (ERP); late-positive-potential (LPP); mood disruption	EVENT-RELATED SYNCHRONIZATION; FEATURE-SELECTION; EEG SIGNALS; BIG DATA; RECOGNITION; EXPERIENCE; THETA; DESYNCHRONIZATION; CLASSIFICATION; ASYMMETRIES	Affects recognition and regulation has become an interesting research topic given the noninvasive application of electroencephalography (EEG). EEG patterns are generated through electrical activity over the human scalp, but the collected data from these sensors are quite complex due to noise and artifacts. Given the complex nature of human brain signals, emotion recognition and regulation are still challenging problems. By emphasizing and aiming to improve the human living, how could be possible to prevent emotional or behavioral disorder in children in their early age? Therefore, it is essential to investigate the children's emotions. In this study, we present a mechanism to regulate children's emotions. Over 40 subjects' EEG data were collected and performed a late-positive-potential (LPP) analysis in EEGLAB. By investigating late positive potential during emotion regulatory analysis, we find a significant difference in modulation and amplitude between control/special subjects that may help in early detection of mood disruption problems.	[Mehmood, Raja Majid] Xiamen Univ Malaysia, Sch Elect & Comp Engn, Informat & Commun Technol Dept, Sepang 43900, Malaysia; [Yang, Hyung-Jeong] Chonnam Natl Univ, Dept Comp Sci, Gwangju 61186, South Korea; [Kim, Sun-Hee] Korea Univ, Dept Brain & Cognit Engn, Seoul 02841, South Korea		Kim, SH (corresponding author), Korea Univ, Dept Brain & Cognit Engn, Seoul 02841, South Korea.	rajamajid@xmu.edu.my; hjyang@jnu.ac.kr; sunheekim@korea.ac.kr	Mehmood, Raja Majid/H-3643-2012	Mehmood, Raja Majid/0000-0002-2284-0479	National Research Foundation of Korea (NRF) - Korea Government (MSIT) [NRF-2018R1A2B6006046]; Korea University Grant; Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry of Education [NRF-2017R1A4A1015559]; Xiamen University Malaysia Research Fund (XMUMRF) [XMUMRF/2019-C3/IECE/0007]	National Research Foundation of Korea (NRF) - Korea Government (MSIT); Korea University Grant; Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry of Education; Xiamen University Malaysia Research Fund (XMUMRF)	This work was supported in part by the National Research Foundation of Korea (NRF) Grant awarded by Korea Government (MSIT) under Grant NRF-2018R1A2B6006046; in part by the Korea University Grant; in part by the Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education under Grant NRF-2017R1A4A1015559; and in part by the Xiamen University Malaysia Research Fund (XMUMRF) under Grant XMUMRF/2019-C3/IECE/0007. The Associate Editor coordinating the review process was Anirban Mukherjee.		74	10	10	2	13	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0018-9456	1557-9662		IEEE T INSTRUM MEAS	IEEE Trans. Instrum. Meas.		2021	70								4000411	10.1109/TIM.2020.3011817	http://dx.doi.org/10.1109/TIM.2020.3011817			11	Engineering, Electrical & Electronic; Instruments & Instrumentation	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Instruments & Instrumentation	OU9KO					2022-08-02	WOS:000591842200040
J	Zisk, AH; Borgheai, SB; McLinden, J; Hosni, SM; Deligani, RJ; Shahriari, Y				Zisk, Alyssa Hillary; Borgheai, Seyyed Bahram; McLinden, John; Hosni, Sarah M.; Deligani, Roohollah Jafari; Shahriari, Yalda			P300 latency jitter and its correlates in people with amyotrophic lateral sclerosis	CLINICAL NEUROPHYSIOLOGY			English	Article						Brain-computer interface (BCI); Event-related potentials (ERP); Amyotrophic lateral sclerosis (ALS); P300 Latency Jitter; Electroencephalography (EEG)	BRAIN-COMPUTER-INTERFACE; EVENT-RELATED POTENTIALS; SELECTIVE ATTENTION; COMMUNICATION; VARIABILITY; PERFORMANCE; AMPLITUDE; STATE; HEAD	Objective: People with amyotrophic lateral sclerosis (ALS) can benefit from brain-computer interfaces (BCIs). However, users with ALS may experience significant variations in BCI performance and event related potential (ERP) characteristics. This study investigated latency jitter and its correlates in ALS. Methods: Electroencephalographic (EEG) responses were recorded from six people with ALS and nine neurotypical controls. ERP amplitudes and latencies were extracted. Classifier-based latency estimation was used to calculate latency jitter. ERP components and latency jitter were compared between groups using Wilcoxon rank-sum tests. Correlations between latency jitter and each of the clinical measures, ERP features, and performance measures were investigated using Spearman and repeated measures correlations. Results: Latency jitter was significantly increased in participants with ALS and significantly negatively correlated with BCI performance in both ALS and control participants. ERP amplitudes were significantly attenuated in ALS, and significant correlations between ERP features and latency jitter were observed. There was no significant correlation between latency jitter and clinical measures. Conclusions: Latency jitter is increased in ALS and correlates with both BCI performance and ERP features. Significance: These results highlight the associations of latency jitter with BCI performance and ERP characteristics and could inform future BCI designs for people with ALS. (c) 2020 International Federation of Clinical Neurophysiology. Published by Elsevier B.V. All rights reserved.	[Zisk, Alyssa Hillary; Shahriari, Yalda] Univ Rhode Isl, Interdisciplinary Neurosci Program, Kingston, RI 02881 USA; [Borgheai, Seyyed Bahram; McLinden, John; Hosni, Sarah M.; Deligani, Roohollah Jafari; Shahriari, Yalda] Univ Rhode Isl, Elect Comp & Biomed Engn Dept, Kingston, RI 02881 USA		Shahriari, Y (corresponding author), Univ Rhode Isl, Interdisciplinary Neurosci Program, Kingston, RI 02881 USA.; Shahriari, Y (corresponding author), Univ Rhode Isl, Elect Comp & Biomed Engn Dept, Kingston, RI 02881 USA.	alyssazisk@uri.edu; yalda_shahriari@uri.edu	Hosni, Sarah/ABC-5012-2021; Zisk, Alyssa Hillary/AHC-0281-2022	Hosni, Sarah/0000-0002-6159-0257	Institutional Development Award (IdeA) Network for Biomedical Research Excellence from the NIGMS of the NIH [P20GM103430]; National Center for Adaptive Neurotechnologies [EB018783]; ALS Association Rhode Island Chapter; National Center for Adaptive Neurotechnologies	Institutional Development Award (IdeA) Network for Biomedical Research Excellence from the NIGMS of the NIH; National Center for Adaptive Neurotechnologies; ALS Association Rhode Island Chapter; National Center for Adaptive Neurotechnologies	This study was supported by the Institutional Development Award (IdeA) Network for Biomedical Research Excellence from the NIGMS of the NIH (P20GM103430) and National Center for Adaptive Neurotechnologies (EB018783). The authors would like to thank the participants without whom this study would not have been possible. We would also like to thank the ALS Association Rhode Island Chapter and the National Center for Adaptive Neurotechnologies for their continuous support.		59	4	4	4	9	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	1388-2457	1872-8952		CLIN NEUROPHYSIOL	Clin. Neurophysiol.	FEB	2021	132	2					632	642		10.1016/j.clinph.2020.10.022	http://dx.doi.org/10.1016/j.clinph.2020.10.022		FEB 2021	11	Clinical Neurology; Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	QG3QE	33279436				2022-08-02	WOS:000617503100002
J	Pavlov, Y; Kotchoubey, B				Pavlov, Y.; Kotchoubey, B.			Event-related potentials in a human serial conditioning paradigm	EUROPEAN PSYCHIATRY			English	Meeting Abstract						ERP; Fear conditioning; EEG			[Pavlov, Y.] Ural Fed Univ, Dept Psychol, Ekaterinburg, Russia; [Pavlov, Y.; Kotchoubey, B.] Univ Tubingen, Inst Med Psychol, Tubingen, Germany										0	0	0	0	1	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0924-9338	1778-3585		EUR PSYCHIAT	Eur. Psychiat.	APR	2021	64			1	SI	EPP0024	S190	S190		10.1192/j.eurpsy.2021.504	http://dx.doi.org/10.1192/j.eurpsy.2021.504			1	Psychiatry	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychiatry	UM9TU		gold			2022-08-02	WOS:000693667600056
J	Guney, G; Kisacik, E; Kalaycioglu, C; Saygili, G				Guney, Gokhan; Kisacik, Esra; Kalaycioglu, Canan; Saygili, Gorkem			Exploring the attention process differentiation of attention deficit hyperactivity disorder (ADHD) symptomatic adults using artificial intelligence on electroencephalography (EEG) signals	TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES			English	Article						Attention deficit hyperactivity disorder; artificial neural network; support vector machine; electroen-cephalography; visual continuous performance test	EVENT-RELATED POTENTIALS; RESPONSE-INHIBITION; DEFICIT/HYPERACTIVITY DISORDER; BRAIN ACTIVITY; CHILDREN; GO/NOGO; FLOW	Attention deficit and hyperactivity disorder (ADHD) onset in childhood and its symptoms can last up till adulthood. Recently, electroencephalography (EEG) has emerged as a tool to investigate the neurophysiological connection of ADHD and the brain. In this study, we investigated the differentiation of attention process of healthy subjects with or without ADHD symptoms under visual continuous performance test (VCPT). In our experiments, artificial neural network (ANN) algorithm achieved 98.4% classification accuracy with 0.98 sensitivity when P2 event related potential (ERP) was used. Additionally, our experimental results showed that fronto-central channels were the most contributing. Overall, we conclude that the attention process of adults with or without ADHD symptoms become a key feature to separate individuals especially in fronto-central regions under VCPT condition. In addition, using P2 ERP component under VCPT task can be a highly accurate approach to investigate EEG signal differentiation on ADHD-symptomatic adults.	[Guney, Gokhan; Saygili, Gorkem] Ankara Univ, Dept Biomed Engn, Ankara, Turkey; [Kisacik, Esra] Nuh Naci Yazgan Univ, Fac Sci & Literature, Dept Psychol, Kayseri, Turkey; [Kalaycioglu, Canan; Saygili, Gorkem] Ankara Univ, Grad Sch Hlth Sci, Interdisciplinary Neurosci, Ankara, Turkey; [Saygili, Gorkem] Tilburg Univ, Cognit Sci & Artificial Intelligence Dept, Tilburg, Netherlands		Guney, G (corresponding author), Ankara Univ, Dept Biomed Engn, Ankara, Turkey.	gkngnyy@gmail.com		Saygili, Gorkem/0000-0002-9049-2138					40	0	0	2	3	TUBITAK SCIENTIFIC & TECHNICAL RESEARCH COUNCIL TURKEY	ANKARA	ATATURK BULVARI NO 221, KAVAKLIDERE, ANKARA, 00000, TURKEY	1300-0632	1303-6203		TURK J ELECTR ENG CO	Turk. J. Electr. Eng. Comput. Sci.		2021	29	5					2312	2325		10.3906/elk-2011-3	http://dx.doi.org/10.3906/elk-2011-3			14	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering	WB6FZ		Bronze			2022-08-02	WOS:000703667100004
