PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Durka, PJ				Durka, Piotr J.			On the methodological unification in electroencephalography	BIOMEDICAL ENGINEERING ONLINE			English	Review								Background: This paper presents results of a pursuit of a repeatable and objective methodology of analysis of the electroencephalographic (EEG) time series. Methods: Adaptive time-frequency approximations of EEG are discussed in the light of the available experimental and theoretical evidence, and applicability in various experimental and clinical setups. Results: Four lemmas and three conjectures support the following conclusion. Conclusion: Adaptive time-frequency approximations of signals unify most of the univariate computational approaches to EEG analysis, and offer compatibility with its traditional (visual) analysis, used in clinical applications.	[Durka, Piotr J.] Warsaw Univ, Inst Expt Phys, Ul Hoza 69, PL-00681 Warsaw, Poland		Durka, PJ (corresponding author), Warsaw Univ, Inst Expt Phys, Ul Hoza 69, PL-00681 Warsaw, Poland.	durka@fuw.edu.pl		Durka, Piotr/0000-0001-5816-8082	State Committee for Scientific Research (KBN)	State Committee for Scientific Research (KBN)(Polish State Committee for Scientific Research)	This work was partly supported by a grant of the State Committee for Scientific Research (KBN) to the Institute of Experimental Physics of Warsaw University.		29	4	4	0	1	BMC	LONDON	CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND		1475-925X		BIOMED ENG ONLINE	Biomed. Eng. Online		2005	4								15	10.1186/1475-925X-4-15	http://dx.doi.org/10.1186/1475-925X-4-15			9	Engineering, Biomedical	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	VI5XU	15748284	Green Published, gold			2022-08-02	WOS:000497965600011
J	Fingelkurts, AA; Fingelkurts, AA; Kivisaari, R; Pekkonen, E; Ilmoniemi, RJ; Kahkonen, S				Fingelkurts, AA; Fingelkurts, AA; Kivisaari, R; Pekkonen, E; Ilmoniemi, RJ; Kahkonen, S			The interplay of lorazepam-induced brain oscillations: microstructural electromagnetic study	CLINICAL NEUROPHYSIOLOGY			English	Article						adaptive classification; electroencephalography; lorazepam; magnetoencephalography; microstructure; short-term spectral patterns	TIME-FREQUENCY PARAMETRIZATION; HUMAN EEG; CORTICOTHALAMIC FEEDBACK; ELECTRICAL-ACTIVITY; SPECTRAL PATTERNS; AVERAGE REFERENCE; SERIES ANALYSIS; NERVOUS-SYSTEM; THALAMIC RELAY; MIDAZOLAM	Objective: The effects on cortical rhythms of a single-dose (30 mug/kg) administration of the GABA(A) agonist lorazepam were examined in a randomized, double-blind, cross-over, placebo-controlled study with 8 healthy volunteers using simultaneous electroencephalography (EEG) and magnetoencephalography (MEG). Methods: The oscillations were assessed by means of adaptive classification of short-term spectral patterns. Results: Lorazepam (a) decreased the percentage of EEG/MEG segments with fast-theta, delta-alpha, fast-theta-alpha and alpha activity and increased percentage of EEG/MEG segments with delta, delta-slow-theta, delta-beta, slow-theta and polyrhythmic activity; (b) decreased diversity of EEG/MEG signals (in terms of spectral patterns) and increased the general instability of the signal; (c) increased stabilization periods of the spectral patterns (reduced brain information processing); (d) maintained larger maximum periods of temporal stabilization for delta, slow-theta, delta-slow-theta, delta-beta and polyrhythmic activity (in terms of spectral patterns); (e) did not increase power in the independent beta rhythm. Conclusions: Lorazepam caused significant reorganization of the EEG/MEG microstructure. These results suggest also that adaptive classification analysis of single short-term spectral patterns may provide additional information to conventional spectral analyses. (C) 2003 International Federation of Clinical Neurophysiology. Published by Elsevier Ireland Ltd. All rights reserved.	BM Sci Brain & Mind Technol Res Ctr, FI-02601 Espoo, Finland; Univ Helsinki, Cent Hosp, BioMag Lab, Ctr Engn, FIN-00029 Helsinki, Finland; Univ Helsinki, Dept Radiol, Helsinki, Finland; Univ Helsinki, Dept Neurol, Helsinki, Finland; Univ Helsinki, Cognit Brain Res Unit, Dept Psychol, Helsinki, Finland; Helsinki Brain Res Ctr, Helsinki, Finland		Fingelkurts, AA (corresponding author), BM Sci Brain & Mind Technol Res Ctr, POB 77, FI-02601 Espoo, Finland.	alexander.fingelkurts@bm-science.com	Ilmoniemi, Risto/E-9704-2012	Ilmoniemi, Risto/0000-0002-3340-2618; Pekkonen, Eero/0000-0003-1621-8752					78	38	38	0	3	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	1388-2457			CLIN NEUROPHYSIOL	Clin. Neurophysiol.	MAR	2004	115	3					674	690		10.1016/j.clinph.2003.10.025	http://dx.doi.org/10.1016/j.clinph.2003.10.025			17	Clinical Neurology; Neurosciences	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	804MX	15036064				2022-08-02	WOS:000220303900020
J	Makinen, VT; May, PJC; Tlitinen, H				Makinen, VT; May, PJC; Tlitinen, H			The use of stationarity and nonstationarity in the detection and analysis of neural oscillations	NEUROIMAGE			English	Article						electroencephalography; envelope analysis; fractals; magnetoencephalography; neural oscillations; ongoing brain activity; sensory streams; stationarity; signal detection; signal structure; spectral estimation; tau rhythm; wavelets	EVENT-RELATED DESYNCHRONIZATION; RANGE TEMPORAL CORRELATIONS; BACKGROUND EEG ACTIVITY; SCALING BEHAVIOR; FREQUENCY; DYNAMICS; STIMULUS; ORIGIN	Using available signal (i.e., spectral and time-frequency) analysis methods, it can be difficult to detect neural oscillations because of their continuously changing properties (i.e., nonstationarities) and the noise in which they are embedded. Here, we introduce fractally scaled envelope modulation (FSEM) estimation which is sensitive specifically to the changing properties of oscillatory activity. FSEM utilizes the fractal characteristic of wavelet transforms to produce a compact, two-dimensional representation of time series data where signal components at each frequency are made directly comparable according to the spectral distribution of their envelope modulations. This allows the straightforward identification of neural oscillations and other signal components with an envelope structure different from noise. For stable oscillations, we demonstrate how partition-referenced spectral estimation (PRSE) removes the noise slope from spectral estimates, yielding a level estimate where only peaks signifying the presence of oscillatory activity remain. The functionality of these methods is demonstrated with simulations and by analyzing MEG data from human auditory brain areas. FSEM uncovered oscillations in the 9- to 12-Hz and 15- to 18-Hz ranges whereas traditional spectral estimates were able to detect oscillations only in the former range. FSEM further showed that the oscillations exhibited envelope modulations spanning 3-7 s. Thus, FSEM effectively reveals oscillations undetectable with spectral estimates and allows the use of EEG and MEG for studying cognitive processes when the common approach of stimulus time-locked averaging of the measured signal is unfeasible. (c) 2005 Elsevier Inc. All rights reserved.	Univ Helsinki, Cent Hosp, Ctr Engn, BioMag Lab, FIN-00029 Helsinki, Finland; Univ Helsinki, ACD, Dept Psychol, FIN-00014 Helsinki, Finland		Makinen, VT (corresponding author), Univ Helsinki, Cent Hosp, Ctr Engn, BioMag Lab, POB 340, FIN-00029 Helsinki, Finland.	ville.makinen@biomag.hus.fi	May, Patrick JC/E-1786-2015	May, Patrick JC/0000-0002-3954-0421					30	9	9	0	5	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	1053-8119	1095-9572		NEUROIMAGE	Neuroimage	NOV 1	2005	28	2					389	400		10.1016/j.neuroimage.2005.06.004	http://dx.doi.org/10.1016/j.neuroimage.2005.06.004			12	Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging	977QB	16024256				2022-08-02	WOS:000232817200009
J	Poblano, A; Flores, B; Arteaga, C; Flores, T; Elias, Y; Pineda, G				Poblano, Adrian; Flores, Blanca; Arteaga, Carmina; Flores, Teodoro; Elias, Yolanda; Pineda, Guadalupe			Thinner abuse alters peak of frequency of EEG spectra analyses	ARQUIVOS DE NEURO-PSIQUIATRIA			English	Article						thinner abuse; toluene exposure; electroencephalography; quantitative electroencephalography	EVOKED-POTENTIALS; TOLUENE ABUSE; INTOXICATION	Study objective: The aim of the investigation was to use electroencephalography (EEG) to study whether long-term thinner abuse may result in the slowing, disorganization and asymmetry of the EEG cortical rhythms. Method: Twenty-two patients attending with antecedent of thinner abuse only, and twenty two controls without alcohol, smoking, and drug abuse in the same age range and gender were studied. EEG recording were compared by means of the analyses of peak of frequency (POF), frequency of disorganization, and asymmetry of the background activity in patients and controls at rest eyes-closed condition in electrodes P3, P4, O1, and O2. Results: Significant differences in POF among groups was observed in P3 and P4 location showing lower values in thinner abusers, but not in 01 and 02 locations. Frequencies of disorganization and asymmetry showed significantly higher proportions in thinner abusers. Bivariate correlations among POF at the four electrode location and time of thinner abuse showed significant values. However after partial correlation calculation correcting for age, significant values disappeared. Conclusion: Thus thinner abuse relates with slowing of POF in the EEG of patients with thinner abuse associated with disorganization, and asymmetry depending on time of abuse.	Natl Inst Rehabil, Lab Cognit Neurophysiol, Mexico City, DF, Mexico; Toxicol Ctr Xochimilco, Dept Hlth, Mexico City, DF, Mexico		Poblano, A (corresponding author), Calzada Mexico Xochimilco 289,Col Arenal Guadalup, Mexico City 14389, DF, Mexico.	drthinner@starmedia.com							22	1	2	0	2	ASSOC ARQUIVOS NEURO- PSIQUIATRIA	SAO PAULO SP	PR AMADEU AMARAL 47/33, 01327-010 SAO PAULO SP, BRAZIL	0004-282X	1678-4227		ARQ NEURO-PSIQUIAT	Arq. Neuro-Psiquiatr.	DEC	2006	64	4					937	940		10.1590/S0004-282X2006000600009	http://dx.doi.org/10.1590/S0004-282X2006000600009			4	Neurosciences; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Psychiatry	115YU	17220999	gold, Green Published			2022-08-02	WOS:000242770500009
J	Schevon, CA; Thompson, T; Hirsch, LJ; Emerson, RG				Schevon, CA; Thompson, T; Hirsch, LJ; Emerson, RG			Inadequacy of standard screen resolution for localization of seizures recorded from intracranial electrodes	EPILEPSIA			English	Article						intracranial EEG; implanted electrodes; seizure diagnosis; seizure physiopathology; electroencephalography; instrumentation; signal processing	HIGH-FREQUENCY OSCILLATIONS; ONSET; PATTERNS	Seizures recorded during long-term monitoring with implanted intracranial electrodes are typically interpreted by visual inspection alone by using digital display systems. When high-frequency activity is digitized and displayed on a typical monitor, it is altered in ways that are not always appreciated and that may have an impact on the intracranial EEG (ICEEG) interpretation. We describe a case of a neocorticalonset seizure in which false localization occurred with a 12-s per screen display. Because frequencies in excess of 100 Hz are not uncommon in neocortical seizures, at most 4 to 5 s of EEG, depending on the screen resolution, data-sampling rate, and other factors, should be displayed at one time during visual interpretation to localize the seizure onset. Alternatively, spectral analysis should be performed on recordings of neocortical seizures to detect high-frequency activity that may be missed on visual inspection.	Columbia Univ, Comprehens Epilepsy Ctr, Inst Neurol, New York, NY 10016 USA		Schevon, CA (corresponding author), Columbia Univ, Comprehens Epilepsy Ctr, Inst Neurol, 403 E 34th St, New York, NY 10016 USA.	catherine.schevon@med.nyu.edu		Hirsch, Lawrence/0000-0002-6333-832X					13	7	7	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0013-9580	1528-1167		EPILEPSIA	Epilepsia	NOV	2004	45	11					1453	1458		10.1111/j.0013-9580.2004.67603.x	http://dx.doi.org/10.1111/j.0013-9580.2004.67603.x			6	Clinical Neurology	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	868JA	15509247				2022-08-02	WOS:000224908700019
J	Yamawaki, N; Wilke, C; Liu, ZM; He, B				Yamawaki, Nobuyuki; Wilke, Christopher; Liu, Zhongming; He, Bin			An enhanced time-frequency-spatial approach for motor imagery classification	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING			English	Article; Proceedings Paper	3rd International Meeting on Brain-Computer Interface Technology	JUN, 2005	Rensselaerville Inst, Rensselaerville, NY		Rensselaerville Inst	brain-computer interface (BCI); electroencephalography; motor imagery; time-frequency analysis; time-frequency-spatial analysis	BRAIN-COMPUTER INTERFACE; EEG; COMMUNICATION; TASKS	Human motor imagery (MI) tasks evoke electroencephalogram (EEG) signal changes. The features of these changes appear as subject-specific temporal traces of EEG rhythmic components at specific channels located over the scalp. Accurate classification of MI tasks based upon EEG may lead to a noninvasive brain-computer interface (BCI) to decode and convey intention of human subjects. We have previously proposed two novel methods on time-frequency feature extraction, expression and classification for high-density EEG recordings (Wang and He 2004; Wang, Deng, and He, 2004). In the present study, we refined the above time-frequency-spatial approach and applied it to a one-dimensional "cursor control" BCI experiment with online feedback. Through offline analysis of the collected data, we evaluated the capability of the present refined method in comparison with the original time-frequency-spatial methods. The enhanced performance in terms of classification accuracy was found for the proposed approach, with a mean accuracy rate of 91.1% for two subjects studied.	Univ Minnesota, Dept Biomed Engn, Minneapolis, MN 55455 USA		Yamawaki, N (corresponding author), Kinki Univ, Dept Elect Syst & Informat Engn, Wakayama 6496497, Japan.	binhe@umn.edu		Wilke, Christopher/0000-0003-4147-6040	NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING [R01EB000178] Funding Source: NIH RePORTER; NIBIB NIH HHS [R01 EB00178, R01 EB000178] Funding Source: Medline	NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)); NIBIB NIH HHS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB))			16	40	41	1	17	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1534-4320	1558-0210		IEEE T NEUR SYS REH	IEEE Trans. Neural Syst. Rehabil. Eng.	JUN	2006	14	2					250	254		10.1109/TNSRE.2006.875567	http://dx.doi.org/10.1109/TNSRE.2006.875567			5	Engineering, Biomedical; Rehabilitation	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Rehabilitation	054QW	16792306	Green Accepted			2022-08-02	WOS:000238394700032
J	Sarco, DP; Burke, JF; Madsen, JR				Sarco, Dean P.; Burke, John F.; Madsen, Joseph R.			Electroencephalography in epilepsy surgery planning	CHILDS NERVOUS SYSTEM			English	Article						epilepsy; surgery; electroencephalography (EEG); localization; epileptogenic zone; pediatric	SEIZURE FOCI; LOCALIZATION; EEG; OSCILLATIONS; ELECTRODES; FREQUENCY; CHILDHOOD	Objective: To describe localizing value of surface EEG recording in the presurgical evaluation of medically intractable pediatric epilepsy patients. Methods: We review the relevant concepts required for understanding the role of surface EEG in the presurgical evaluation and in identifying the epileptogenic zone. The unique features of EEG and its limitations are discussed. Conclusion: Despite recent technological advancements, surface EEG continues to play a crucial role in defining the epileptogenic zone, and thus in presurgical planning.	Childrens Hosp, Div Epilepsy & Clin Neuropsychiat, Dept Neurol, Boston, MA 02115 USA; Harvard Univ, Sch Med, Dept Neurol, Boston, MA USA; Univ Penn, Dept Elect & Syst Engn, Philadelphia, PA USA; Childrens Hosp, Dept Neurosurg, Boston, MA 02115 USA; Harvard Univ, Sch Med, Dept Surg, Boston, MA 02115 USA		Sarco, DP (corresponding author), Childrens Hosp, Div Epilepsy & Clin Neuropsychiat, Dept Neurol, 300 Longwood Ave, Boston, MA 02115 USA.	dean.sarco@childrens.harvard.edu		Burke, John/0000-0002-6190-5116					32	4	6	0	0	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0256-7040	1433-0350		CHILD NERV SYST	Childs Nerv. Syst.	AUG	2006	22	8					760	765		10.1007/s00381-006-0128-1	http://dx.doi.org/10.1007/s00381-006-0128-1			6	Clinical Neurology; Pediatrics; Surgery	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Pediatrics; Surgery	065OZ	16770619				2022-08-02	WOS:000239170500003
J	Kiebel, SJ; Tallon-Baudry, C; Friston, KJ				Kiebel, SJ; Tallon-Baudry, C; Friston, KJ			Parametric analysis of oscillatory activity as measured with EEG/MEG	HUMAN BRAIN MAPPING			English	Article						statistical parametric mapping; EEG; MEG; time-frequency decomposition	EEG; HUMANS; DESYNCHRONIZATION; RESPONSES; SIGNAL; TASK	We assess the suitability of conventional parametric statistics for analyzing oscillatory activity, as measured with electroencephalography/magnetoencephalography (EEG/MEG). The approach we consider is based on narrow-band power time-frequency decompositions of single-trial data. The ensuing power measures have a chi(2)-distribution. The use of the general linear model (GLM) under normal error assumptions is, therefore, difficult to motivate for these data. This is unfortunate because the GLM plays a central role in classical inference and is the standard estimation and inference framework for neuroimaging data. The key contribution of this work is to show that, in many circumstances, one can appeal to the central limit theorem and assume normality for generative models of power. If this is not appropriate, one can transform the data to render the error terms approximately normal. These considerations allow one to analyze induced and evoked oscillations using standard frameworks like statistical parametric mapping. We establish the validity of parametric tests using synthetic and real data and compare its performance to established nonparametric procedures.	Inst Neurol, Wellcome Dept Imaging Neurosci, Funct Imaging Lab, London WC1N EBG, England; Hop La Pitie Salpetriere, CNRS, UPR 640, LENA, Paris, France		Kiebel, SJ (corresponding author), Inst Neurol, Wellcome Dept Imaging Neurosci, Funct Imaging Lab, 12 Queen Sq, London WC1N EBG, England.	skiebel@fil.ion.ucl.ac.uk	Friston, Karl/D-9230-2011; Kiebel, Stefan J/B-1551-2009; Tallon-Baudry, Catherine/J-8637-2015	Friston, Karl/0000-0001-7984-8909; Kiebel, Stefan J/0000-0002-5052-1117; Tallon-Baudry, Catherine/0000-0001-8480-5831	Wellcome Trust Funding Source: Medline	Wellcome Trust(Wellcome TrustEuropean Commission)			23	106	107	0	9	WILEY-LISS	HOBOKEN	DIV JOHN WILEY & SONS INC, 111 RIVER ST, HOBOKEN, NJ 07030 USA	1065-9471			HUM BRAIN MAPP	Hum. Brain Mapp.	NOV	2005	26	3					170	177		10.1002/hbm.20153	http://dx.doi.org/10.1002/hbm.20153			8	Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging	980ZI	15929085	Green Published			2022-08-02	WOS:000233056300002
J	Nikulin, VV; Nikulina, AV; Yamashita, H; Rossi, EM; Kahkonen, S				Nikulin, VV; Nikulina, AV; Yamashita, H; Rossi, EM; Kahkonen, S			Effects of alcohol on spontaneous neuronal oscillations: A combined magnetoencephalography and electroencephalography study	PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY			English	Review						alcohol; alpha rhythm; beta rhythm; electroencephalography (EEG); magnetoencephalography (MEG)	ALPHA-BAND; GABA(A) RECEPTORS; EEG CHANGES; ETHANOL; MEG; LOCALIZATION; INHIBITION; PROPOFOL	Electroencephalography (EEG) and magnetoencephalography (MEG) can detect different aspects of alcohol effects on auditory processing measured with event-related potentials and magnetic fields. The present study aimed to detect alcohol-induced changes in spontaneous neuronal oscillations with combined EEG and MEG techniques. The effects of alcohol on spontaneous neuronal rhythms were studied in 12 healthy subjects after 0.8 g/kg alcohol or juice in a double-blind, placebo-con trolled, cross-over design using simultaneous high-resolution MEG and EEG in eyes-open and eyes-closed conditions. The data were analyzed with a power spectral density analysis. MEG recording showed that alcohol significantly increased the relative power of alpha rhythm (8-10 Hz) and reduced the relative power of beta activity (17-25 Hz)in both left and right hemispheres, but only in the eyes-closed condition. These effects did not depend on gender. No analogous statistically significant changes were observed in EEG rhythms. However, the power of alpha and beta rhythms was positively correlated in MEG and EEG recordings, indicating that MEG and EEG reflect similar processes. A distinct sensitivity of MEG and EEG to the sources of cortical oscillations, a better signal-to-noise ratio of MEG, as well as strong spatial blurring of potentials in EEG are most likely the reasons for the observed differences in the effects of alcohol on spontaneous oscillations as detected with two methods. (C) 2005 Elsevier Inc. All rights reserved.	Univ Helsinki, Cent Hosp, Ctr Engn, BioMag Lab, FIN-00029 Helsinki, Finland; Karolinska Inst, Dept Clin Neurosci, S-10401 Stockholm, Sweden; Hiroshima Univ, Sch Med, Dept Psychiat & Neurosci, Hiroshima 730, Japan; Univ Helsinki, Cognit Brain Res Unit, FIN-00014 Helsinki, Finland		Kahkonen, S (corresponding author), Univ Helsinki, Cent Hosp, Ctr Engn, BioMag Lab, POB 340, FIN-00029 Helsinki, Finland.	Seppo.Kahkonen@helsinki.fi	Nikulin, Vadim V/A-6050-2014; Marttinen Rossi, Essi/E-7986-2017	Nikulin, Vadim V/0000-0001-6082-3859; Marttinen Rossi, Essi/0000-0002-7811-875X					48	24	25	0	3	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0278-5846	1878-4216		PROG NEURO-PSYCHOPH	Prog. Neuro-Psychopharmacol. Biol. Psychiatry	JUN	2005	29	5					687	693		10.1016/j.pnpbp.2005.04.014	http://dx.doi.org/10.1016/j.pnpbp.2005.04.014			7	Clinical Neurology; Neurosciences; Pharmacology & Pharmacy; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Pharmacology & Pharmacy; Psychiatry	946QB	15905011				2022-08-02	WOS:000230586100007
S	Liu, QB; Zhou, ZT; Liu, Y; Hu, DW		Huang, DS; Li, K; Irwin, GW		Liu, Qingbao; Zhou, Zongtan; Liu, Yang; Hu, Dewen			Feature extraction and pattern classification on mining electroencephalography data for brain-computer interface	INTELLIGENT COMPUTING IN SIGNAL PROCESSING AND PATTERN RECOGNITION	Lecture Notes in Control and Information Sciences		English	Article; Proceedings Paper	International Conference on Intelligent Computing (ICIC)	AUG 16-19, 2006	Kunming, PEOPLES R CHINA	IEEE Computat Intelligence Soc, Int Neural Network Soc, Natl Sci Fdn China			POTENTIALS	Electroencephalography (EEG) is a useful tool for observing brain activities. With the development of modern signal processing and statistics techniques, we have the ability to explore more information from EEG, much beyond classic trial-averaging approach. This paper discusses some characteristic methods for feature extraction and pattern classification on EEG data theoretically, and a combined spatial-temporal-frequency analysis strategy is proposed. After comparison of the linear function and support vector machine, reinforcement training is introduced to optimize a pre-designed linear classifier while at the same time restrain over-fitting of the classifier. Experiments performed on real EEG experimental data shows that it is effective in mining potential EEG patterns, and by which we achieved consistently results on all four submitted datasets of the BCI competition III.	Natl Def Univ, Sch Informat Syst & Management, Changsha 410073, Hunan, Peoples R China; Natl Def Univ, Coll Mechatron & Automat, Changsha 410073, Hunan, Peoples R China		Liu, QB (corresponding author), Natl Def Univ, Sch Informat Syst & Management, Changsha 410073, Hunan, Peoples R China.	dwhu@nudt.edu.cn	Hu, Dewen/AAN-8511-2020; Hu, Dewen/D-1978-2015						10	1	1	0	4	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0170-8643		3-540-37257-1	LECT NOTES CONTR INF			2006	345						864	869						6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Information Systems; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S); Science Citation Index Expanded (SCI-EXPANDED)	Automation & Control Systems; Computer Science; Engineering	BEZ63					2022-08-02	WOS:000240385300105
