PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Sato, W; Kochiyama, T; Uono, S; Usui, N; Kondo, A; Matsuda, K; Usui, K; Toichi, M; Inoue, Y				Sato, Wataru; Kochiyama, Takanori; Uono, Shota; Usui, Naotaka; Kondo, Akihiko; Matsuda, Kazumi; Usui, Keiko; Toichi, Motomi; Inoue, Yushi			Analyzing Neural Activity and Connectivity Using Intracranial EEG Data with SPM Software	JOVE-JOURNAL OF VISUALIZED EXPERIMENTS			English	Article						Neuroscience; Issue 140; cross-frequency coupling; dynamic causal modeling (DCM); face; gamma oscillation; inferior occipital gyrus; intracranial electroencephalography (EEG); time-frequency analysis	HIGH-FREQUENCY; OSCILLATIONS; MODEL	Measuring neural activity and connectivity associated with cognitive functions at high spatial and temporal resolutions is an important goal in cognitive neuroscience. Intracranial electroencephalography (EEG) can directly record electrical neural activity and has the unique potential to accomplish this goal. Traditionally, averaging analysis has been applied to analyze intracranial EEG data; however, several new techniques are available for depicting neural activity and intra- and inter-regional connectivity. Here, we introduce two analytical protocols we recently applied to analyze intracranial EEG data using the Statistical Parametric Mapping (SPM) software: time-frequency SPM analysis for neural activity and dynamic causal modeling of induced responses for intra- and inter-regional connectivity. We report our analysis of intracranial EEG data during the observation of faces as representative results. The results revealed that the inferior occipital gyrus (IOG) showed gamma-band activity at very early stages (110 ms) in response to faces, and both the IOG and amygdala showed rapid intra- and inter-regional connectivity using various types of oscillations. These analytical protocols have the potential to identify the neural mechanisms underlying cognitive functions with high spatial and temporal profiles.	[Sato, Wataru] Kyoto Univ, Kokoro Res Ctr, Kyoto, Japan; [Kochiyama, Takanori] Adv Telecommun Res Inst Int, Brain Act Imaging Ctr, Kyoto, Japan; [Uono, Shota] Kyoto Univ, Dept Neurodev Psychiat Habilitat & Rehabil, Grad Sch Med, Kyoto, Japan; [Usui, Naotaka] Natl Epilepsy Ctr, Shizuoka, Japan; [Kondo, Akihiko; Matsuda, Kazumi; Inoue, Yushi] Shizuoka Inst Epilepsy & Neurol Disorders, Shizuoka, Japan; [Usui, Keiko] Sapporo Med Univ, Dept Syst Neurosci, Sapporo, Hokkaido, Japan; [Toichi, Motomi] Kyoto Univ, Fac Human Hlth Sci, Grad Sch Med, Kyoto 6068501, Japan		Usui, K (corresponding author), Sapporo Med Univ, Dept Syst Neurosci, Sapporo, Hokkaido, Japan.	sato.wataru.4v@kyoto-u.ac.jp; n-usui@shizuokamind.org	Kondo, Akihiko/A-2130-2015; Sato, Wataru/E-7503-2017	Uono, Shota/0000-0003-0547-0522; Sato, Wataru/0000-0002-5335-1272	Benesse Corporation; Japan Society for the Promotion of Science (JSPS) Funding Program for Next Generation World-Leading Researchers [LZ008]; Organization for Promoting Research in Neurodevelopmental Disorders; JSPS KAKENHI [15K04185, 18K03174]	Benesse Corporation; Japan Society for the Promotion of Science (JSPS) Funding Program for Next Generation World-Leading Researchers(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science); Organization for Promoting Research in Neurodevelopmental Disorders; JSPS KAKENHI(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI))	This study was supported by funds from the Benesse Corporation, Japan Society for the Promotion of Science (JSPS) Funding Program for Next Generation World-Leading Researchers (LZ008), the Organization for Promoting Research in Neurodevelopmental Disorders, and the JSPS KAKENHI (15K04185; 18K03174).		38	0	0	0	8	JOURNAL OF VISUALIZED EXPERIMENTS	CAMBRIDGE	1 ALEWIFE CENTER, STE 200, CAMBRIDGE, MA 02140 USA	1940-087X			JOVE-J VIS EXP	J. Vis. Exp.	OCT	2018		140							e58187	10.3791/58187	http://dx.doi.org/10.3791/58187			9	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	HI4WM	30451234	Green Submitted			2022-08-02	WOS:000456452800136
J	Shibata, T; Kobayashi, K				Shibata, Takashi; Kobayashi, Katsuhiro			Epileptic High-frequency Oscillations in Scalp Electroencephalography	ACTA MEDICA OKAYAMA			English	Review						electroencephalogram; high-frequency oscillations; fast oscillations; time-frequency analysis; epilepsy	FAST RIPPLES; EEG RECORDINGS; WEST SYNDROME; HZ; HIPPOCAMPUS; SPIKES; MARKER; BRAIN; ELECTRODES; CHILDHOOD	Electroencephalography (EEG) examines the functional state of the brain. High-frequency oscillations (HFOs) in the ripple (80-200/250 Hz) and fast ripple (200/250-500/600 Hz) bands have recently been attracting attention, and their recording has been enabled by advancements in digital EEG techniques. The detection of HFOs was previously limited to intracranial EEG, but fast oscillations (FOs) in the gamma (40-80 Hz) and ripple bands can now be detected over the scalp. HFOs and FOs have been shown to be related to epileptogenicity in intracranial EEG and scalp EEG, respectively. A large number of FOs are found in the scalp EEGs of pediatric patients with various epileptic encephalopathies, particularly West syndrome. FOs are suggested to be a biomarker of the epileptogenic cortical region in epilepsy surgery. FOs are detectable even in patients with idiopathic focal epilepsies, including benign epilepsy with centrotemporal spikes and Panayiotopoulos syndrome, who are not generally candidates for operation. The detection of HFOs and FOs may provide clues to the pathophysiology of epilepsy and the relationship between HFOs and cognitive dysfunction.	[Shibata, Takashi] Okayama Univ, Grad Sch Med Dent & Pharmaceut Sci, Dept Child Neurol, Okayama 7008558, Japan; Okayama Univ Hosp, Okayama 7008558, Japan		Shibata, T (corresponding author), Okayama Univ, Grad Sch Med Dent & Pharmaceut Sci, Dept Child Neurol, Okayama 7008558, Japan.	shibat-t@cc.okayama-u.ac.jp							31	2	2	0	4	OKAYAMA UNIV MED SCHOOL	OKAYAMA	EDITORIAL OFFICE, ACTA MEDICA OKAYAMA OKAYAMA UNIVERSITY MEDICAL SCHOOL 2-5-1 SHIKATA-CHO, KITA-KU, OKAYAMA, 700-8558, JAPAN	0386-300X			ACTA MED OKAYAMA	Acta Med. Okayama	AUG	2018	72	4					325	329						5	Medicine, Research & Experimental	Science Citation Index Expanded (SCI-EXPANDED)	Research & Experimental Medicine	GR1BJ	30140078				2022-08-02	WOS:000442261200001
C	Kolodziej, M; Majkowski, A; Oskwarek, L; Rak, RJ; Tarnowski, P		Augustyniak, P; Maniewski, R; Tadeusiewicz, R		Kolodziej, Marcin; Majkowski, Andrzej; Oskwarek, Lukasz; Rak, Remigiusz J.; Tarnowski, Pawel			Processing and Analysis of EEG Signal for SSVEP Detection	RECENT DEVELOPMENTS AND ACHIEVEMENTS IN BIOCYBERNETICS AND BIOMEDICAL ENGINEERING	Advances in Intelligent Systems and Computing		English	Proceedings Paper	20th Polish Conference on Biocybernetics and Biomedical Engineering (PCBBE)	SEP 20-22, 2017	AGH Univ Sci & Technol, Krakow, POLAND	Polish Acad Sci, Comm Biocybernet & Biomed Engn, Polish Soc Biomed Engn, IEEE Signal Proc Soc, Polish Chapter	AGH Univ Sci & Technol	Electroencephalography; Brain-Computer Interface (BCI); Independent Components Analysis (ICA); Frequency analysis; Time-frequency analysis; EEG inverse problem; LORETA	BRAIN-COMPUTER INTERFACES; ARTIFACTS; REMOVAL; LORETA	The aim of the article is to provide a systematic presentation of basic tools that are most commonly used to analyze electroencephalography signals (EEG) in brain-computer interfaces for detection of steady-state visually evoked potentials (SSVEP). We use a database of EEG signals containing SSVEP and demonstrate the desirability of the use of selected methods, showing their benefits. Methods such as independent components analysis (ICA), frequency analysis (DFT), and time-frequency analysis (STFT) are presented. For SSVEP, the features of EEG signal should be stable with time. Short-Time Fourier Transform (STFT) allows to confirm this stability. Independent Component Analysis is used to extract pure SSVEP components. The advantages of each method are described and the obtained results are discussed. Further, source location by the use of low-resolution electromagnetic tomography algorithm is demonstrated.	[Kolodziej, Marcin; Majkowski, Andrzej; Oskwarek, Lukasz; Rak, Remigiusz J.; Tarnowski, Pawel] Warsaw Univ Technol, Warsaw, Poland		Majkowski, A (corresponding author), Warsaw Univ Technol, Warsaw, Poland.	marcin.kolodziej@ee.pw.edu.pl; andrzej.majkowski@ee.pw.edu.pl; remigiusz.rak@ee.pw.edu.pl	Kołodziej, Marcin/N-3139-2014; Rak, Remigiusz/AGU-5285-2022; Oskwarek, Lukasz/K-2684-2018; Tarnowski, Pawel/N-4957-2016; Majkowski, Andrzej/K-6187-2018	Kołodziej, Marcin/0000-0003-2856-7298; Rak, Remigiusz/0000-0003-0674-453X; Oskwarek, Lukasz/0000-0003-0644-2240; Tarnowski, Pawel/0000-0003-0392-4084; Majkowski, Andrzej/0000-0002-6557-836X					35	2	2	1	3	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	2194-5357	2194-5365	978-3-319-66905-2	ADV INTELL SYST			2018	647						3	21		10.1007/978-3-319-66905-2_1	http://dx.doi.org/10.1007/978-3-319-66905-2_1			19	Computer Science, Cybernetics; Engineering, Biomedical	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BM3WB					2022-08-02	WOS:000462742700001
J	Crouch, B; Sommerlade, L; Veselcic, P; Riedel, G; Schelter, B; Platt, B				Crouch, Barry; Sommerlade, Linda; Veselcic, Peter; Riedel, Gernot; Schelter, Bjorn; Platt, Bettina			Detection of time-, frequency- and direction-resolved communication within brain networks	SCIENTIFIC REPORTS			English	Article							MEDIAL PREFRONTAL CORTEX; ALZHEIMERS-DISEASE; EEG COHERENCE; THETA OSCILLATIONS; SLEEP; HIPPOCAMPUS; DIAZEPAM; CONNECTIVITY; PHENOTYPES; DYNAMICS	Electroencephalography (EEG) records fast-changing neuronal signalling and communication and thus can offer a deep understanding of cognitive processes. However, traditional data analyses which employ the Fast-Fourier Transform (FFT) have been of limited use as they do not allow time-and frequency-resolved tracking of brain activity and detection of directional connectivity. Here, we applied advanced qEEG tools using autoregressive (AR) modelling, alongside traditional approaches, to murine data sets from common research scenarios: (a) the effect of age on resting EEG; (b) drug actions on nonrapid eye movement (NREM) sleep EEG (pharmaco-EEG); and (c) dynamic EEG profiles during correct vs incorrect spontaneous alternation responses in the Y-maze. AR analyses of short data strips reliably detected age-and drug-induced spectral EEG changes, while renormalized partial directed coherence (rPDC) reported direction-and time-resolved connectivity dynamics in mice. Our approach allows for the first time inference of behaviour-and stage-dependent data in a time-and frequency-resolved manner, and offers insights into brain networks that underlie working memory processing beyond what can be achieved with traditional methods.	[Crouch, Barry; Veselcic, Peter; Riedel, Gernot; Platt, Bettina] Univ Aberdeen, Sch Med Med Sci & Nutr, Inst Med Sci, Foresterhill, Aberdeen AB25 2ZD, Scotland; [Sommerlade, Linda; Schelter, Bjorn] Univ Aberdeen, Kings Coll, Inst Complex Syst & Math Biol, Old Aberdeen AB24 3UE, Scotland; [Sommerlade, Linda; Schelter, Bjorn] Univ Aberdeen, Inst Pure & Appl Math, Kings Coll, Old Aberdeen AB24 3UE, Scotland; [Schelter, Bjorn] TauRx Therapeut Ltd, King St, Aberdeen, Scotland; [Veselcic, Peter] AbbVie Deutschland GmbH & Co KG, Knollstr, D-67061 Ludwigshafen, Germany		Platt, B (corresponding author), Univ Aberdeen, Sch Med Med Sci & Nutr, Inst Med Sci, Foresterhill, Aberdeen AB25 2ZD, Scotland.	b.platt@abdn.ac.uk		Platt, Bettina/0000-0002-7852-0749	Macdonald Trust; Alzheimer Society [AS-PG-14-039]	Macdonald Trust; Alzheimer Society	This work was in part supported by a grant from the Macdonald Trust to BP and BS, and by a grant from the Alzheimer Society (AS-PG-14-039) to BP and GR.		51	11	12	0	6	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	JAN 29	2018	8								1825	10.1038/s41598-018-19707-1	http://dx.doi.org/10.1038/s41598-018-19707-1			15	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	FT8VD	29379037	Green Published, gold			2022-08-02	WOS:000423430400037
J	Vodovozov, W; Nakhnikian, A; Nestor, P; Gurrera, R; Levin, M; Spencer, K				Vodovozov, Wadim; Nakhnikian, Alexander; Nestor, Paul; Gurrera, Ronald; Levin, Margaret; Spencer, Kevin			Spontaneous Gamma EEG Activity and Aging in Schizophrenia	BIOLOGICAL PSYCHIATRY			English	Meeting Abstract	73rd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP)	MAY 10-12, 2017	New York, NY	Soc Biol Psychiat		Schizophrenia; Aging; Electroencephalography (EEG); Gamma Oscillation; E/I Balance			[Vodovozov, Wadim; Nakhnikian, Alexander; Nestor, Paul] Harvard Med Sch, VA Boston Healthcare Syst, Boston, MA USA; [Gurrera, Ronald; Spencer, Kevin] VA Boston Healthcare Syst, Boston, MA USA; [Levin, Margaret] EPhysBio Inc, San Diego, CA USA						NARSAD; Department of Veterans Affairs [I01 CX001443]; NIH [R01 MH093450]	NARSAD(NARSAD); Department of Veterans Affairs(US Department of Veterans Affairs); NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA)	Supported By: NARSAD Independent Investigator Award (KS); Department of Veterans Affairs I01 CX001443 (KS); NIH R01 MH093450 (ML, KS)		0	0	0	0	2	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0006-3223	1873-2402		BIOL PSYCHIAT	Biol. Psychiatry	MAY 1	2018	83	9		S		F206	S319	S319		10.1016/j.biopsych.2018.02.820	http://dx.doi.org/10.1016/j.biopsych.2018.02.820			1	Neurosciences; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychiatry	GG9DU					2022-08-02	WOS:000433001900217
J	Fryer, S; Roach, B; Ford, J; Gokbayrak, N; Boos, A; Mathalon, D				Fryer, Susanna; Roach, Brian; Ford, Judith; Gokbayrak, Nemra; Boos, Alison; Mathalon, Daniel			Measures of Neural Oscillation Synchrony During Reward Processing in Schizophrenia	BIOLOGICAL PSYCHIATRY			English	Meeting Abstract	73rd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP)	MAY 10-12, 2018	New York, NY	Soc Biol Psychiat		Reward Processing; Electroencephalography (EEG); Neural Oscillations; First Episode Schizophrenia			[Fryer, Susanna; Roach, Brian; Ford, Judith; Gokbayrak, Nemra; Boos, Alison; Mathalon, Daniel] Univ Calif San Francisco, San Francisco, CA 94143 USA				Mathalon, Daniel H/AEE-5878-2022	Mathalon, Daniel H/0000-0001-6090-4974	VA	VA(US Department of Veterans Affairs)	Supported By: VA		0	0	0	1	4	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0006-3223	1873-2402		BIOL PSYCHIAT	Biol. Psychiatry	MAY 1	2018	83	9		S		T217	S212	S213		10.1016/j.biopsych.2018.02.554	http://dx.doi.org/10.1016/j.biopsych.2018.02.554			2	Neurosciences; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychiatry	GG1SD					2022-08-02	WOS:000432466300531
C	Krishnan, M; Edison, L; Radhamani, R; Nizar, N; Kumar, D; Nair, M; Nair, B; Diwakar, S			IEEE	Krishnan, Maya; Edison, Liya; Radhamani, Rakhi; Nizar, Nijin; Kumar, Dhanush; Nair, Manjusha; Nair, Bipin; Diwakar, Shyam			Experimental Recording and Computational Analysis of EEG signals for a Squeeze Task: Assessments and Impacts for Applications	2018 INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, COMMUNICATIONS AND INFORMATICS (ICACCI)			English	Proceedings Paper	7th International Conference on Computing, Communications and Informatics (ICACCI)	SEP 19-22, 2018	Bangalore, INDIA	PES Inst Technol, Bangalore South Campus, IEEE, IEEE Communicat Soc, IEEE Photon Soc, IEEE Robot & Automat Soc		electroencephalography; signal analysis; squeeze task; human motor execution	BRAIN	Localization of neural activities from electroencephalography measurements and attributing a motor task to its neural signature is becoming a trend in neuroscience and brain computer interface research. For elucidating brain functions in healthy subjects and motor dysfunctions patients, a motor-related squeeze task, a simple daily task was employed in this study. Using low-cost electroencephalography devices in mapping human brain for understanding neural microcircuitry roles during a squeeze task as a biomarker for brain function was the objective. EEG data was recorded from eight healthy righthanded volunteers (4 female and 4 male) of different age group, performing squeeze task on a rubber ball applying graded forces. Using time and frequency domain analysis, we show frontal asymmetry attributed to activity from electrodes in AF3, AF4, F3, F4, F7 and F8 role-specific regions for identifying motor planning and motor execution characterized by predominant mu and beta oscillations.	[Krishnan, Maya; Edison, Liya; Radhamani, Rakhi; Nizar, Nijin; Kumar, Dhanush; Nair, Manjusha; Nair, Bipin; Diwakar, Shyam] Amrita Vishwa Vidyapeetham, Amrita Sch Biotechnol, Amritapuri Campus,Clappana PO, Kollam 690525, Kerala, India; [Krishnan, Maya; Edison, Liya; Nair, Manjusha] Dept Comp Sci & Applicat, Amritapuri Campus, Kollam, India		Diwakar, S (corresponding author), Amrita Vishwa Vidyapeetham, Amrita Sch Biotechnol, Amritapuri Campus,Clappana PO, Kollam 690525, Kerala, India.	shyam@amrita.edu	Diwakar, Shyam/C-2455-2015; M, Manjusha Nair/ABE-9781-2020	Diwakar, Shyam/0000-0003-1546-0184; M, Manjusha Nair/0000-0002-1573-1936; nair, bipin/0000-0002-4944-8805; Kumar, Dhanush/0000-0003-0770-1355	Department of Science and Technology [SR/CSRI/61/2014]; Young Faculty Research Fellowship of MeitY, Government of India; Embracing the World	Department of Science and Technology(Department of Science & Technology (India)); Young Faculty Research Fellowship of MeitY, Government of India; Embracing the World	This work derives direction and ideas from the Chancellor of Amrita Vishwa Vidyapeetham, Sri Mata Amritanandamayi Devi. This work was funded by Department of Science and Technology Grant SR/CSRI/61/2014 and by Young Faculty Research Fellowship of MeitY, Government of India and by Embracing the World. Authors would like to thank Bodda Sandeep and Priya Chellaiah for data collection and support in this study.		23	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-5314-2				2018							1523	1527						5	Computer Science, Theory & Methods; Engineering, Electrical & Electronic; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering; Telecommunications	BL7WI					2022-08-02	WOS:000455682100253
J	Banerjee, P; Esneault, E; Donnello, J				Banerjee, Pradeep; Esneault, Elise; Donnello, John			Rapastinel, a Rapid-Acting Antidepressant, Does Not Adversely Affect Cortical Network Oscillations: A Quantitative Electroencephalography Study in Rats	BIOLOGICAL PSYCHIATRY			English	Meeting Abstract	73rd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP)	MAY 10-12, 2017	New York, NY	Soc Biol Psychiat		Major Depressive Disorder (MDD); Rapastinel; Electroencephalography (EEG)			[Banerjee, Pradeep; Donnello, John] Allergan, Dublin, Ireland; [Esneault, Elise] Porsolt, Le Genest St Isle, France						Allergan	Allergan(AbbVieAllergan)	Supported By: Allergan		0	0	0	0	1	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0006-3223	1873-2402		BIOL PSYCHIAT	Biol. Psychiatry	MAY 1	2018	83	9		S		S163	S411	S411		10.1016/j.biopsych.2018.02.1055	http://dx.doi.org/10.1016/j.biopsych.2018.02.1055			1	Neurosciences; Psychiatry	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychiatry	GG9DU					2022-08-02	WOS:000433001900449
J	Kuo, CC; Tucker, DM; Luu, P; Jenson, K; Tsai, JJ; Ojemann, JG; Holmes, MD				Kuo, Ching-Chang; Tucker, Don M.; Luu, Phan; Jenson, Kevin; Tsai, Jeffrey J.; Ojemann, Jeffrey G.; Holmes, Mark D.			EEG source imaging of epileptic activity at seizure onset	EPILEPSY RESEARCH			English	Article						Seizure; HD-EEG; Oscillation; Source localization; Time-frequency; Epilepsy	DENSE-ARRAY EEG; FRONTAL-LOBE EPILEPSY; HIGH-RESOLUTION EEG; SOURCE LOCALIZATION; SCALP EEG; OSCILLATIONS; BRAIN; ZONE; ELECTROENCEPHALOGRAPHY; LATERALIZATION	Surgical resection of the seizure onset zone (SOZ) requires that this region of the cortex is accurately localized. The onset of a seizure may be marked by transient discharges, but it also may be accompanied by oscillatory, sinusoidal electrographic activity, such as the EEG theta rhythm. However, because of the superposition of the seizure signal with other electrical signals, including noise artifacts and non-seizure brain activity, noninvasive Electrical Source Imaging (ESI) of the ictal EEG activity at seizure onset remains a challenging task for surgical planning. In the present study, we localize the SOZ from oscillatory features of the EEG at the ictal onset using 256-channel high density electroencephalography (HD-EEG), exact sensor positions, and individual electrical head models constructed from the patient's T1 magnetic resonance image (MRI). Epileptic activities at the seizure onset were characterized with joint time-frequency analysis and source estimated by standardized low resolution electromagnetic tomography (sLORETA) inverse method. The consistency of this localization was examined across multiple seizures for individual patients. For validation, results were compared to three clinical criteria: (1) epileptogenic lesions, (2) seizure onset observed in intracranial EEG, and (3) successful surgical outcomes. In this set of 84 seizures, the onsets of 56 seizures could be localized. For the lateralization measure, the results from HD-EEG with interictal spikes (8/10) and with ictal onset (10/10) were more accurate than international 10-20 EEG for interictal spikes (5/10) and ictal onset (5/10). ESI from HD-EEG with ictal onset (9/ 10) had greater concordance to the clinical criteria than HD-EEG with interictal spikes (6/10). Noninvasive ESI of oscillatory features at ictal onset using 256-channel HD-EEG and high-resolution individual head models can make a useful contribution to the clinical localization of the SOZ in presurgical planning.	[Kuo, Ching-Chang] Philips Neuro, Eugene, OR USA; [Kuo, Ching-Chang; Tucker, Don M.] Univ Oregon, NeuroInformat Ctr, Eugene, OR 97403 USA; [Tucker, Don M.; Luu, Phan] Univ Oregon, Dept Psychol, Eugene, OR 97403 USA; [Jenson, Kevin; Tsai, Jeffrey J.; Holmes, Mark D.] Univ Washington, Harborview Med Ctr, Dept Neurol, Reg Epilepsy Ctr, 325 9Th Ave, Seattle, WA 98104 USA; [Ojemann, Jeffrey G.] Univ Washington, Dept Neurol Surg, Seattle, WA 98195 USA		Kuo, CC (corresponding author), 500 E 4th Ave 200, Eugene, OR 97401 USA.	benson.kuo@philips.com			Electrical Geodesics, Inc.	Electrical Geodesics, Inc.	Electrical Geodesics, Inc., provided support in the form of salaries for authors Ching-Chang Kuo, Don M. Tucker, Phan Luu and Kevin Jenson, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.		53	13	13	1	9	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0920-1211	1872-6844		EPILEPSY RES	Epilepsy Res.	OCT	2018	146						160	171		10.1016/j.eplepsyres.2018.07.006	http://dx.doi.org/10.1016/j.eplepsyres.2018.07.006			12	Clinical Neurology	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology	GU3HY	30189370				2022-08-02	WOS:000445168400021
J	Sweeney-Reed, CM; Nasuto, SJ; Vieira, MF; Andrade, AO				Sweeney-Reed, Catherine M.; Nasuto, Slawomir J.; Vieira, Marcus F.; Andrade, Adriano O.			Empirical Mode Decomposition and its Extensions Applied to EEG Analysis: A Review	ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS			English	Article						Empirical mode decomposition; EEG; time-frequency decomposition	BRAIN-COMPUTER-INTERFACE; INDEPENDENT COMPONENT ANALYSIS; CORTICAL MOTOR AREAS; PHASE SYNCHRONIZATION; SIGNAL DECOMPOSITION; ARTIFACT SUPPRESSION; THETA-OSCILLATIONS; BETA-OSCILLATIONS; HILBERT SPECTRUM; WORKING-MEMORY	Empirical mode decomposition (EMD) provides an adaptive, data-driven approach to time-frequency analysis, yielding components from which local amplitude, phase, and frequency content can be derived. Since its initial introduction to electroencephalographic (EEG) data analysis, EMD has been extended to enable phase synchrony analysis and multivariate data processing. EMD has been integrated into a wide range of applications, with emphasis on denoising and classification. We review the methodological developments, providing an overview of the diverse implementations, ranging from artifact removal to seizure detection and brain-computer interfaces. Finally, we discuss limitations, challenges, and opportunities associated with EMD for EEG analysis.	[Sweeney-Reed, Catherine M.] Otto von Guericke Univ, Clin Neurol & Stereotact Neurosurg, Neurocybernet & Rehabil, Leipziger Str 44, D-39120 Magdeburg, Germany; [Nasuto, Slawomir J.] Univ Reading, Sch Biol Sci, Biomed Engn Sect, Reading RG6 6AY, Berks, England; [Vieira, Marcus F.] Univ Fed Goias, Bioengn & Biomech Lab, Goiania, Go, Brazil; [Andrade, Adriano O.] Univ Fed Uberlandia, Fac Elect Engn, Ctr Innovat & Technol Assessment Hlth, Postgrad Program Elect & Biomed Engn, Uberlandia, MG, Brazil		Sweeney-Reed, CM (corresponding author), Otto von Guericke Univ, Clin Neurol & Stereotact Neurosurg, Neurocybernet & Rehabil, Leipziger Str 44, D-39120 Magdeburg, Germany.	catherine.sweeney-reed@med.ovgu.de	de Oliveira Andrade, Adriano/D-9721-2012; Vieira, Marcus Fraga/G-4840-2012	de Oliveira Andrade, Adriano/0000-0002-5689-6606; Vieira, Marcus Fraga/0000-0001-9096-1603; Sweeney-Reed, Catherine/0000-0002-3684-1245	National Council for Scientific and Technological Development (CNPq); Coordination of Improvement of Higher Level Personnel (CAPES); Foundation for Research Support of the State of Minas Gerais FAPEMIG [APQ-00942-17]	National Council for Scientific and Technological Development (CNPq)(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); Coordination of Improvement of Higher Level Personnel (CAPES)(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)); Foundation for Research Support of the State of Minas Gerais FAPEMIG(Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG))	A. O. Andrade is a Fellow of CNPq, Brazil (305223/2014-3), and he is thankful for the support of the National Council for Scientific and Technological Development (CNPq), Coordination of Improvement of Higher Level Personnel (CAPES), Foundation for Research Support of the State of Minas Gerais FAPEMIG (APQ-00942-17).		203	15	16	3	25	WORLD SCIENTIFIC PUBL CO PTE LTD	SINGAPORE	5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE	2424-922X	2424-9238		ADV DATA SCI ADAPT	Adv. Data Sci. Adapt. Anal.	APR	2018	10	2			SI				UNSP 1840001	10.1142/S2424922X18400016	http://dx.doi.org/10.1142/S2424922X18400016			34	Mathematics, Interdisciplinary Applications	Emerging Sources Citation Index (ESCI)	Mathematics	GQ6FF					2022-08-02	WOS:000441799500002
