PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Curio, G; Blankertz, B; Muller, KR				Curio, G.; Blankertz, B.; Mueller, K. -R.			EEG-Based Brain-Computer Interfaces for Real-Time Decoding of Mental States	KLINISCHE NEUROPHYSIOLOGIE			German	Article						brain-computer interface (BCI); machine learning; readiness potential; neuro-feedback; prosthesis control	CLASSIFICATION; COMMUNICATION; SYNCHRONIZATION; PERFORMANCE; MOVEMENT	Brain-computer interfaces (BCI) employ algorithmic procedures of machine learning in order to extract user-specific patterns of high-dimensional EEG features. These patterns are optimised to decode intention-related brain states in real-time. Characteristic BCI applications for paralysed patients are control of active prostheses or speller software. To recognise a user's motor intention a BCI system utilises individual EEG activation indices, such as the readiness potential or the modulation of regional EEG rhythms. Also beyond the borders of rehabilitation, this neurotechnology enables a growing set of novel application scenarios, e. g., BCIs can serve as optimised feedback tools for the stabilisation of mental states such as vigilance or attention.	[Curio, G.] Charite, Klin Neurol & Klin Neurophysiol, AG Neurophys, D-12200 Berlin, Germany; [Blankertz, B.; Mueller, K. -R.] Tech Univ Berlin, AG Maschinelles Lernen, Berlin, Germany; [Curio, G.; Blankertz, B.; Mueller, K. -R.] Bernstein Fokus Neurotechnol Berlin, Berlin, Germany; [Curio, G.; Mueller, K. -R.] Bernstein Ctr Computat Neurosci Berlin, Berlin, Germany		Curio, G (corresponding author), Charite, Klin Neurol & Klin Neurophysiol, AG Neurophys, Campus Benjamin Franklin,Hindenburgdamm 30, D-12200 Berlin, Germany.	gabriel.curio@charite.de	Muller, Klaus R/C-3196-2013; Mueller, Klaus-Robert/Y-3547-2019	Mueller, Klaus-Robert/0000-0002-3861-7685; Curio, Gabriel/0000-0002-3377-7735					42	0	0	0	19	GEORG THIEME VERLAG KG	STUTTGART	RUDIGERSTR 14, D-70469 STUTTGART, GERMANY	1434-0275	1439-4081		KLIN NEUROPHYSIOL	Klin. Neurophysiol.	SEP	2012	43	3					213	219		10.1055/s-0032-1316304	http://dx.doi.org/10.1055/s-0032-1316304			7	Clinical Neurology; Neuroimaging; Physiology	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Physiology	006NO					2022-08-02	WOS:000308826100007
C	Liu, YH; Wu, CT; Kao, YH; Chen, YT			IEEE	Liu, Yi-Hung; Wu, Chien-Te; Kao, Yung-Hwa; Chen, Ya-Ting			Single-Trial EEG-based Emotion Recognition Using Kernel Eigen-Emotion Pattern and Adaptive Support Vector Machine	2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	IEEE Engineering in Medicine and Biology Society Conference Proceedings		English	Proceedings Paper	35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013	Osaka, JAPAN	IEEE Engn Med Biol Soc, Japanese Soc Med & Biol Engn			STIMULI	Single-trial electroencephalography (EEG)-based emotion recognition enables us to perform fast and direct assessments of human emotional states. However, previous works suggest that a great improvement on the classification accuracy of valence and arousal levels is still needed. To address this, we propose a novel emotional EEG feature extraction method: kernel Eigen-emotion pattern (KEEP). An adaptive SVM is also proposed to deal with the problem of learning from imbalanced emotional EEG data sets. In this study, a set of pictures from IAPS are used for emotion induction. Results based on seven participants show that KEEP gives much better classification results than the widely-used EEG frequency band power features. Also, the adaptive SVM greatly improves classification performance of commonly-adopted SVM classifier. Combined use of KEEP and adaptive SVM can achieve high average valence and arousal classification rates of 73.42% and 73.57%. The highest classification rates for valence and arousal are 80% and 79%, respectively. The results are very promising.	[Liu, Yi-Hung; Kao, Yung-Hwa] Chung Yuan Christian Univ, Dept Mech Engn, Chungli 320, Taiwan; [Wu, Chien-Te; Chen, Ya-Ting] Natl Taiwan Univ, Coll Med, Sch Occupat Therapy, Taipei 106, Taiwan		Liu, YH (corresponding author), Chung Yuan Christian Univ, Dept Mech Engn, Chungli 320, Taiwan.	lyh@cycu.edu.tw; chientewu@ntu.edu.tw	Wu, Chien-Te/C-3839-2009	WU, CHIEN-TE/0000-0001-7349-0731					21	18	18	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1557-170X		978-1-4577-0216-7	IEEE ENG MED BIO			2013							4306	4309						4	Engineering, Biomedical; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BB2DX	24110685				2022-08-02	WOS:000341702104187
C	Zhang, H; Liu, Y; Liang, JY; Cao, JT; Zhang, LQ			IEEE	Zhang, Hao; Liu, Ye; Liang, Jianyi; Cao, Jianting; Zhang, Liqing			Gaussian Mixture Modeling in Stroke Patients' Rehabilitation EEG Data Analysis	2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)	IEEE Engineering in Medicine and Biology Society Conference Proceedings		English	Proceedings Paper	35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013	Osaka, JAPAN	IEEE Engn Med Biol Soc, Japanese Soc Med & Biol Engn				Traditional 2-class Motor Imagery (MI) Electroencephalography (EEG) classification approaches like Common Spatial Pattern (CSP) and Support Vector Machine (SVM) usually underperform when processing stroke patients' rehabilitation EEG which are flooded with unknown irregular patterns. In this paper, the classical CSP-SVM schema is improved and a feature learning method based on Gaussian Mixture Model (GMM) is utilized for depicting patients' imagery EEG distribution features. We apply the proposed modeling program in two different modules of our online BCI-FES rehabilitation platform and achieve a relatively higher discrimination accuracy. Sufficient observations and test cases on patients' MI data sets have been implemented for validating the GMM model. The results also reveal some working mechanisms and recovery appearances of impaired cortex during the rehabilitation training period.	[Zhang, Hao; Liu, Ye; Liang, Jianyi; Zhang, Liqing] Shanghai Jiao Tong Univ, Dept Comp Sci & Engn, MOE Microsoft Key Lab Intelligent Comp & Intellig, Shanghai 200240, Peoples R China; [Cao, Jianting] Saitama Inst Technol, Fukaya, Japan		Zhang, H (corresponding author), Shanghai Jiao Tong Univ, Dept Comp Sci & Engn, MOE Microsoft Key Lab Intelligent Comp & Intellig, Shanghai 200240, Peoples R China.	zh_chaos@sjtu.edu.cn			National Natural Science Foundation of China [90920014, 91120305]; NSFC-JSPS International Cooperation Program [61111140019]; European Union Seventh Framework Programme [247619]	National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); NSFC-JSPS International Cooperation Program; European Union Seventh Framework Programme(European Commission)	The work was supported by the National Natural Science Foundation of China (Grant No. 90920014 and 91120305), the NSFC-JSPS International Cooperation Program (Grant No.61111140019) and the European Union Seventh Framework Programme (Grant No. 247619)		14	6	6	0	6	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1557-170X		978-1-4577-0216-7	IEEE ENG MED BIO			2013							2208	2211						4	Engineering, Biomedical; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BB2DX	24110161				2022-08-02	WOS:000341702102169
J	Yu, ZE; Kuo, CC; Chou, CH; Yen, CT; Chang, F				Yu, Zong-En; Kuo, Chung-Chih; Chou, Chien-Hsing; Yen, Chen-Tung; Chang, Fu			A machine learning approach to classify vigilance states in rats	EXPERT SYSTEMS WITH APPLICATIONS			English	Article						Vigilance stages; Pattern classification; EEG; Machine learning; PCA; k-NN	SLEEP; EEG; OSCILLATIONS; RECOGNITION; DISCHARGES; TRANSITION; ALGORITHM; FREQUENCY; PATTERNS; SYSTEMS	Identifying mammalian vigilance states has recently become an important topic in biological science research. The vigilance states are usually categorized in at least three states, including slow wave sleep (SWS), rapid eye movement sleep (REM), and awakening. To identify different vigilance states, even a well-trained expert must spend a lot of time analyzing a mass of physiological recording data. This study proposes an automatic vigilance stages classification method for analyzing EEG signals in rats. The EEG signals were transferred by fast Fourier transform before extracting features. These extracted features were then used as training patterns to construct the proposed classification system. The proposed classification system contains two functional units. The first unit is principle component analysis (PCA) method, which is used to project the high dimensional features into the lower dimensional subspace. The second unit is the k-nearest neighbor (k-NN) method, which identifies the physiological state in each EEG signal epoch. Based on the results of analyzing 810 epochs of EEG signal, the proposed classification method achieves satisfactory classification accuracy for vigilance states. Based on machine-learning algorithms, the classifier learns to approach the configuration that best fits the categorization task. Therefore, additional training in searching best parameters and thresholds can be avoided. Moreover, the PCA algorithm projects data instances into a 3-D space, making it possible to visualize state-changing dynamics. Experimental results show that the proposed machine-learning based classifier performs better than conventional vigilance state classification algorithms. The results also suggest that it is possible to identify the vigilance states with only EEG signals using the proposed pattern recognition technique. Crown Copyright (C) 2011 Published by Elsevier Ltd. All rights reserved.	[Chou, Chien-Hsing] Tamkang Univ, Dept Elect Engn, Tamsui 25137, Taipei Hsien, Taiwan; [Yu, Zong-En] Natl Taiwan Univ, Dept Elect Engn, Taipei, Taiwan; [Kuo, Chung-Chih] Tzu Chi Univ, Inst Neurosci, Hualien, Taiwan; [Kuo, Chung-Chih] Tzu Chi Univ, Inst Phsylol & Anat Med, Hualien, Taiwan; [Yen, Chen-Tung] Natl Taiwan Univ, Inst Zool, Taipei, Taiwan; [Chang, Fu] Acad Sinica, Inst Informat Sci, Taipei, Taiwan		Chou, CH (corresponding author), Tamkang Univ, Dept Elect Engn, 151 Ying Chuan Rd, Tamsui 25137, Taipei Hsien, Taiwan.	brendon@cobra.ee.ntu.edu.tw; cckuo@mail.tcu.edu.tw; chchou@mail.tku.edu.tw; ctyen@ntu.edu.tw; fchang@iis.sinica.edu.tw	Yen, Chen-Tung/F-5302-2011	Yen, Chen-Tung/0000-0002-0076-4487	National Science Council, Taiwan, ROC [NSC 98-2218-E-238-001, NSC 99-2221-E-238-017]	National Science Council, Taiwan, ROC(Ministry of Science and Technology, Taiwan)	This work was partly supported by the National Science Council, Taiwan, ROC, under the NSC 98-2218-E-238-001 and the NSC 99-2221-E-238-017.		52	7	7	0	9	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0957-4174	1873-6793		EXPERT SYST APPL	Expert Syst. Appl.	AUG	2011	38	8					10153	10160		10.1016/j.eswa.2011.02.076	http://dx.doi.org/10.1016/j.eswa.2011.02.076			8	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Operations Research & Management Science	759JV		Green Submitted			2022-08-02	WOS:000290237500126
J	Wu, B; Yang, F; Zhang, JC; Wang, YW; Zheng, XX; Chen, WD				Wu, Bian; Yang, Fan; Zhang, Jicai; Wang, Yiwen; Zheng, Xiaoxiang; Chen, Weidong			A frequency-temporal-spatial method for motor-related electroencephalography pattern recognition by comprehensive feature optimization	COMPUTERS IN BIOLOGY AND MEDICINE			English	Article						Motor tasks; Feature optimization; Brain-computer interface; CSP	BRAIN-COMPUTER INTERFACES; EEG; IMAGERY; CLASSIFICATION; FILTERS; DESYNCHRONIZATION; SYNCHRONIZATION; ALGORITHMS; SELECTION; FINGER	Either imagined or actual movements lead to a combination of electroencephalography signals with distinctive frequency, temporal and spatial characteristics, which correspond to various motor-related neural activities. This frequency-temporal-spatial pattern is the key of motor intention decoding which is the basis of brain-computer interfaces by motor imagery. We present a new method for motor-related electroencephalography recognition which comprehensively optimizes the frequency-time-space features in a user-specific way. The recognition work focuses on three points: proper time and frequency domain segmentation, spatial optimization based on common spatial pattern filters and feature importance evaluation. We show that by combining the advantages of these optimizational methods, the proposed algorithm effectively improves motor task classification, and the recognized signal chanracteristics can be used to visualize the motor related electroencephalography patterns under different conditions. (c) 2012 Elsevier Ltd. All rights reserved.	[Wu, Bian; Yang, Fan; Zhang, Jicai; Wang, Yiwen; Zheng, Xiaoxiang; Chen, Weidong] Zhejiang Univ, Qiushi Acad Adv Studies, Hangzhou 310027, Zhejiang, Peoples R China; [Wu, Bian; Zheng, Xiaoxiang] Zhejiang Univ, Dept Biomed Engn, Hangzhou 310027, Zhejiang, Peoples R China; [Yang, Fan; Zhang, Jicai; Chen, Weidong] Zhejiang Univ, Coll Comp Sci, Hangzhou 310027, Zhejiang, Peoples R China; [Wu, Bian; Zheng, Xiaoxiang] Zhejiang Univ, Key Lab Biomed Engn, Minist Educ, Hangzhou 310027, Zhejiang, Peoples R China		Chen, WD (corresponding author), Zhejiang Univ, Qiushi Acad Adv Studies, Hangzhou 310027, Zhejiang, Peoples R China.	qaas@zju.edu.cn	Wang, Yiwen/M-1216-2015		National Natural Science Foundation of China [60873125, 30800287, 61031002, 61001172]; Zhejiang Provincial Natural Science Foundation of China [Y2090707]; Fundamental Research Funds for the Central Universities	National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Zhejiang Provincial Natural Science Foundation of China(Natural Science Foundation of Zhejiang Province); Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities)	The work of this article was supported by grants from the National Natural Science Foundation of China (No. 60873125, 30800287, 61031002, 61001172), the Zhejiang Provincial Natural Science Foundation of China (No. Y2090707), and the Fundamental Research Funds for the Central Universities. The authors also thank the institutes of Fraunhofer FIRST and Department of Neurology in Charite-Medical University Berlin for providing the BCI competition dataset.		33	8	8	1	19	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0010-4825	1879-0534		COMPUT BIOL MED	Comput. Biol. Med.	APR	2012	42	4					353	363		10.1016/j.compbiomed.2011.11.014	http://dx.doi.org/10.1016/j.compbiomed.2011.11.014			11	Biology; Computer Science, Interdisciplinary Applications; Engineering, Biomedical; Mathematical & Computational Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics; Computer Science; Engineering; Mathematical & Computational Biology	922CL	22348825				2022-08-02	WOS:000302524300001
C	Mapelli, I; Ozkurt, TE			IEEE	Mapelli, Igor; Ozkurt, Tolga Esat			Classification of living and non-living objects from MEG recordings	2013 21ST SIGNAL PROCESSING AND COMMUNICATIONS APPLICATIONS CONFERENCE (SIU)	Signal Processing and Communications Applications Conference		Turkish	Proceedings Paper	21st Signal Processing and Communications Applications Conference (SIU)	APR 24-26, 2013	CYPRUS			EEG; MEG; Classification; Feature extraction; Neural networks		The mapping of brain areas involved in the representation of living vs. non-living objects has been matter for debate. Electroencephalography (EEG) and magnetoencephalography (MEG) recordings combined with advanced machine learning techniques have been useful for this purpose. This study conducted analysis on features extracted from MEG recordings of two subjects performing a language task. Mean accuracies of 57.68% for visual task (chance level 50%) and 52.52% for auditory task (chance level 50%) on decoding living vs. non-living category and 49.39% on decoding auditory living vs. auditory non-living vs. visual living vs. visual non-living category (chance level 25%) were obtained.	[Mapelli, Igor; Ozkurt, Tolga Esat] Orta Dogu Tekn Univ, Saglik Bilisimi Bolumu, Enformat Enstitusu, Ankara, Turkey		Mapelli, I (corresponding author), Orta Dogu Tekn Univ, Saglik Bilisimi Bolumu, Enformat Enstitusu, Ankara, Turkey.	igor.mapelli@metu.edu.tr; ozkurt@metu.edu.tr	Özkurt, Tolga Esat/ABA-1362-2020						5	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2165-0608		978-1-4673-5563-6; 978-1-4673-5562-9	SIG PROCESS COMMUN			2013														3	Engineering, Electrical & Electronic; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Telecommunications	BHC85					2022-08-02	WOS:000325005300384
J	Blankertz, B; Lemm, S; Treder, M; Haufe, S; Muller, KR				Blankertz, Benjamin; Lemm, Steven; Treder, Matthias; Haufe, Stefan; Mueller, Klaus-Robert			Single-trial analysis and classification of ERP components - A tutorial	NEUROIMAGE			English	Article						EEG; ERP; BCI; Decoding; Machine learning; Shrinkage; LDA; Spatial filter; Spatial pattern	BRAIN-COMPUTER-INTERFACE; EEG; COMMUNICATION; PERFORMANCE; SEPARATION; REDUCTION; PEOPLE	Analyzing brain states that correspond to event related potentials (ERPs) on a single trial basis is a hard problem due to the high trial-to-trial variability and the unfavorable ratio between signal (ERP) and noise (artifacts and neural background activity). In this tutorial, we provide a comprehensive framework for decoding ERPs, elaborating on linear concepts, namely spatio-temporal patterns and filters as well as linear ERP classification. However, the bottleneck of these techniques is that they require an accurate covariance matrix estimation in high dimensional sensor spaces which is a highly intricate problem. As a remedy, we propose to use shrinkage estimators and show that appropriate regularization of linear discriminant analysis (LDA) by shrinkage yields excellent results for single-trial ERP classification that are far superior to classical LDA classification. Furthermore, we give practical hints on the interpretation of what classifiers learned from the data and demonstrate in particular that the trade-off between goodness-of-fit and model complexity in regularized LDA relates to a morphing between a difference pattern of ERPs and a spatial filter which cancels non task-related brain activity. (C) 2010 Elsevier Inc. All rights reserved.	[Blankertz, Benjamin; Treder, Matthias; Haufe, Stefan; Mueller, Klaus-Robert] Berlin Inst Technol, Machine Learning Lab, Berlin, Germany; [Blankertz, Benjamin; Lemm, Steven] Fraunhofer FIRST, Intelligent Data Anal Grp, Berlin, Germany		Blankertz, B (corresponding author), Berlin Inst Technol, Machine Learning Lab, Berlin, Germany.	benjamin.blankertz@tu-berlin.de	Mueller, Klaus-Robert/Y-3547-2019; Muller, Klaus R/C-3196-2013	Mueller, Klaus-Robert/0000-0002-3861-7685; Haufe, Stefan/0000-0003-1470-9195; Blankertz, Benjamin/0000-0002-2437-4846	Bundesministerium Bildung und Forschung (BMBF) [Fkz 011B001A/B, 01GQ0850]; German Science Foundation (DFG) [MU 987/3-1]; European Union under the PASCAL2 Network of Excellence [ICT-216886]	Bundesministerium Bildung und Forschung (BMBF)(Federal Ministry of Education & Research (BMBF)); German Science Foundation (DFG)(German Research Foundation (DFG)); European Union under the PASCAL2 Network of Excellence	The studies were partly supported by the Bundesministerium Bildung und Forschung (BMBF), Fkz 011B001A/B, 01GQ0850, by the German Science Foundation (DFG, contract MU 987/3-1), by the European Union under the PASCAL2 Network of Excellence, ICT-216886. This publication only reflects the authors' views. Funding agencies are not liable for any use that may be made of the information contained herein.		78	708	719	17	252	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	1053-8119	1095-9572		NEUROIMAGE	Neuroimage	MAY 15	2011	56	2			SI		814	825		10.1016/j.neuroimage.2010.06.048	http://dx.doi.org/10.1016/j.neuroimage.2010.06.048			12	Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging	757JS	20600976				2022-08-02	WOS:000290081900040
J	Hogendoorn, H; Verstraten, FA				Hogendoorn, H.; Verstraten, F. A.			Decoding sensation and perception over time with EEG pattern cross-classification	PERCEPTION			English	Meeting Abstract									[Hogendoorn, H.] Univ Utrecht, Dept Expt Psychol, NL-3508 TC Utrecht, Netherlands; [Verstraten, F. A.] Univ Sydney, Sch Psychol, Sydney, NSW 2006, Australia			j.h.a.hogendoorn@uu.nl	Hogendoorn, Hinze/J-4666-2015	Hogendoorn, Hinze/0000-0002-8499-8394					0	1	1	0	3	PION LTD	LONDON	207 BRONDESBURY PARK, LONDON NW2 5JN, ENGLAND	0301-0066	1468-4233		PERCEPTION	Perception		2013	42			S			97	98						2	Ophthalmology; Psychology; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Ophthalmology; Psychology	AF7NE					2022-08-02	WOS:000334901000300
J	Podgorelec, V				Podgorelec, V.			Analyzing EEG Signals with Machine Learning for Diagnosing Alzheimer's Disease	ELEKTRONIKA IR ELEKTROTECHNIKA			English	Article						Alzheimer's disease; computer aided diagnosis; electroencephalography; machine learning; medical diagnosis; signal analysis	EARLY IDENTIFICATION	In order to have the greatest treatment impact the early and accurate diagnose of Alzheimer's disease (AD) is essential. In this paper we present a method for analyzing EEG signals with machine learning approach in order to diagnose AD. We show how to extract features out of EEG recordings to be used with a machine learning algorithm for the induction of AD classification model. The obtained results are very promising.	Univ Maribor, Fac Elect Engn & Comp Sci, SI-2000 Maribor, Slovenia		Podgorelec, V (corresponding author), Univ Maribor, Fac Elect Engn & Comp Sci, Smetanova Ulica 17, SI-2000 Maribor, Slovenia.	vili.podgorelec@uni-mb.si	Podgorelec, Vili/M-7665-2014						13	18	18	2	18	KAUNAS UNIV TECHNOLOGY	KAUNAS	KAUNAS UNIV TECHNOL, DEPT ELECTRONICS ENGINEERING, STUDENTU STR 50, KAUNAS, LT-51368, LITHUANIA	1392-1215			ELEKTRON ELEKTROTECH	Elektron. Elektrotech.		2012	18	8					61	64		10.5755/j01.eee.18.8.2627	http://dx.doi.org/10.5755/j01.eee.18.8.2627			4	Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	028KY		gold, Green Published, Green Submitted			2022-08-02	WOS:000310422400014
J	Lemm, S; Blankertz, B; Dickhaus, T; Muller, KR				Lemm, Steven; Blankertz, Benjamin; Dickhaus, Thorsten; Mueller, Klaus-Robert			Introduction to machine learning for brain imaging	NEUROIMAGE			English	Editorial Material						Pattern recognition; Machine learning; Model selection; Cross validation	SINGLE-TRIAL EEG; COMPUTER-INTERFACE; COMPONENT ANALYSIS; MODEL-SELECTION; CLASSIFICATION; SUPPORT; COMPETITION; ALGORITHMS; REGRESSION; PATTERNS	Machine learning and pattern recognition algorithms have in the past years developed to become a working horse in brain imaging and the computational neurosciences, as they are instrumental for mining vast amounts of neural data of ever increasing measurement precision and detecting minuscule signals from an overwhelming noise floor. They provide the means to decode and characterize task relevant brain states and to distinguish them from non-informative brain signals. While undoubtedly this machinery has helped to gain novel biological insights, it also holds the danger of potential unintentional abuse. Ideally machine learning techniques should be usable for any non-expert, however, unfortunately they are typically not. Overfitting and other pitfalls may occur and lead to spurious and nonsensical interpretation. The goal of this review is therefore to provide an accessible and clear introduction to the strengths and also the inherent dangers of machine learning usage in the neurosciences. (C) 2010 Elsevier Inc. All rights reserved.	[Lemm, Steven; Blankertz, Benjamin; Dickhaus, Thorsten; Mueller, Klaus-Robert] Berlin Inst Technol, Dept Comp Sci, Machine Learning Grp, Berlin, Germany; [Blankertz, Benjamin] Fraunhofer FIRST, Intelligent Data Anal Grp, Berlin, Germany; [Lemm, Steven; Blankertz, Benjamin; Mueller, Klaus-Robert] Bernstein Focus Neurotechnol, Berlin, Germany		Lemm, S (corresponding author), Berlin Inst Technol, Dept Comp Sci, Machine Learning Grp, Berlin, Germany.	steven.lemm@cs.tu-berlin.de	Dickhaus, Thorsten/O-9120-2019; Mueller, Klaus-Robert/Y-3547-2019; Muller, Klaus R/C-3196-2013; Dickhaus, Thorsten/I-3571-2012	Dickhaus, Thorsten/0000-0003-3084-3036; Mueller, Klaus-Robert/0000-0002-3861-7685; Blankertz, Benjamin/0000-0002-2437-4846					126	420	427	12	146	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	1053-8119	1095-9572		NEUROIMAGE	Neuroimage	MAY 15	2011	56	2			SI		387	399		10.1016/j.neuroimage.2010.11.004	http://dx.doi.org/10.1016/j.neuroimage.2010.11.004			13	Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging	757JS	21172442				2022-08-02	WOS:000290081900002
